,files,keys,en,hi,id,zh-Hant,ja,zh-Hans,Base,th,vi,ko
10,Flabuless/Layouts/Common UI/ConnectApps.strings,"""bZM-U3-SRz.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
11,Flabuless/Layouts/Common UI/ConnectApps.strings,"""3Tp-pT-lDJ.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
12,Flabuless/Layouts/Common UI/ConnectApps.strings,"""8xu-se-C4b.normalTitle""","""Check in"";","""चेक इन करें "";","""Check in"";","""簽到"";","""チェックイン"";","""签到"";",,"""เช็กอิน"";","""Tham gia sự kiện"";","""체크인"";"
13,Flabuless/Layouts/Common UI/ConnectApps.strings,"""hZf-04-9Ls.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
0,Flabuless/Presentation Layer/Health-Check In/FacilitySection/FacilityDetailCell/FacilityCommonTableViewCell.strings,"""cTa-DE-YYf.text""","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";",,"""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";"
1,Flabuless/Presentation Layer/Health-Check In/FacilitySection/FacilityDetailCell/FacilityCommonTableViewCell.strings,"""HvK-kc-GM5.text""","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";",,"""PHONE NUMBER"";","""PHONE NUMBER"";","""PHONE NUMBER"";"
0,Flabuless/Login/FirstLogin.strings,"""K29-U7-7lo.text""","""Email has been sent to you."";",,,,"""電子メールは正常に送信されました"";",,,,,
1,Flabuless/Login/FirstLogin.strings,"""bdH-cV-utX.text""","""New registration"";",,,,"""新規会員登録"";",,,,,
2,Flabuless/Login/FirstLogin.strings,"""46w-iH-rKP.normalTitle""","""Resend"";",,,,"""再送信"";",,,,,
3,Flabuless/Login/FirstLogin.strings,"""PVG-3w-7IJ.text""","""We have sent an email to reset your password, so please kindly proceed to register accordingly. The email has been sent from [support@flabuless.ne.jp] to XXX"";",,,,"""Label"";",,,,,
4,Flabuless/Login/FirstLogin.strings,"""lRn-Ay-Uaj.normalTitle""","""Ok"";",,,,"""OK"";",,,,,
5,Flabuless/Login/FirstLogin.strings,"""acv-1q-sfl.placeholder""","""First name"";",,,,"""名"";",,,,,
6,Flabuless/Login/FirstLogin.strings,"""3R9-MY-JPL.placeholder""","""Last name"";",,,,"""姓"";",,,,,
7,Flabuless/Login/FirstLogin.strings,"""bfD-qS-rm7.normalTitle""","""Change email address"";",,,,"""メールアドレスの変更"";",,,,,
8,Flabuless/Login/FirstLogin.strings,"""8DQ-4W-t1X.text""","""Please Reset Password"";",,,,"""パスワード発行のお願い"";",,,,,
9,Flabuless/Login/FirstLogin.strings,"""Vb3-AA-Qve.placeholder""","""Email"";",,,,"""Eメール"";",,,,,
10,Flabuless/Login/FirstLogin.strings,"""Bxz-UM-hw9.normalTitle""","""Register"";",,,,"""登録"";",,,,,
0,Flabuless/Layouts/Common UI/Profile.strings,"""YDr-JA-IbE.text""","""Maximum steps per day"";","""प्रति दिन अधिकतम स्टेप्स"";","""Langkah kaki maksimal per hari"";","""每日步數上限"";","""1日最大ステップ数"";","""每天最多步数"";",,"""จำนวนก้าวสูงสุด ต่อสัปดาห์"";","""Số bước tối đa mỗi ngày"";","""이번주최고기록"";"
1,Flabuless/Layouts/Common UI/Profile.strings,"""sIF-B7-mZr.text""","""Connected With"";","""जुडा हुआ ट्रैकर"";","""Tersambung Dengan"";","""已連接"";","""つながっている"";","""已连接到"";",,"""เชื่อมต่อกับ"";","""Đã Kết nối Với"";",""" 데이터 소스:"";"
2,Flabuless/Layouts/Common UI/Profile.strings,"""fcH-IH-drQ.normalTitle""","""1m"";","""1 महीना"";","""1bulan"";","""1月"";","""1ヶ月"";","""1月"";",,"""1 เดือน"";","""1tháng"";","""한달"";"
3,Flabuless/Layouts/Common UI/Profile.strings,"""5cQ-dW-WNp.normalTitle""","""Steps >"";","""कदम >"";","""Langkah kaki >"";","""步數 >"";","""ステップ>"";","""步数>"";",,"""ก้าว >"";","""Bước >"";","""걸음 >"";"
4,Flabuless/Layouts/Common UI/Profile.strings,"""0hr-X9-qAl.text""","""\""Fit body fit mind\"""";","""\""Fit body fit mind\"""";","""\""badan sehat pikiran sehat\"""";","""「健康的身體,健康的心靈。」"";","""\""Fit body fit mind\"""";","""\""健康的身心\"""";",,"""\""ร่างกายแข็งแรงจิตใจ แข็งแรง\"""";","""\""thân khỏe trí bền\"""";","""\""건강한 몸 건강한 마음\"""";"
5,Flabuless/Layouts/Common UI/Profile.strings,"""i2b-FN-ABm.normalTitle""","""Edit"";","""संपादित करें"";","""Edit"";","""編輯"";","""編集"";","""编辑"";",,"""แก้ไข"";","""Chỉnh sửa"";","""수정"";"
6,Flabuless/Layouts/Common UI/Profile.strings,"""ttA-2O-ZUK.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""Label"";","""Nhãn"";","""라벨"";"
7,Flabuless/Layouts/Common UI/Profile.strings,"""cVR-bv-f3w.text""","""1"";","""1"";","""1"";","""1"";","""1"";","""1"";",,"""1"";","""1"";","""1"";"
8,Flabuless/Layouts/Common UI/Profile.strings,"""2d0-Rk-GG1.normalTitle""","""Add Photo"";","""फोटो लगाएं"";","""Tambah Foto"";","""添加頭像"";","""写真を追加"";","""上传图片"";",,"""เพิ่มรูปภาพ"";","""Thêm Ảnh"";","""사진 바꾸기"";"
9,Flabuless/Layouts/Common UI/Profile.strings,"""cGW-Xg-3wo.text""","""email"";","""ईमेल"";","""e-mail"";","""電子郵件"";","""Eメール"";","""电子邮件"";",,"""อีเมล"";","""email"";","""이메일"";"
10,Flabuless/Layouts/Common UI/Profile.strings,"""Wwc-ei-W8X.text""","""location"";","""लोकेशन"";","""lokasi"";","""位置"";","""ロケーション"";","""位置"";",,"""ที่ตั้ง"";","""địa điểm"";","""위치"";"
11,Flabuless/Layouts/Common UI/Profile.strings,"""D6d-TU-ywG.text""",,"""\""स्वस्थ शरीर स्वस्थ दिमाग\"""";","""\""badan sehat pikiran sehat\"""";","""「健康的身體,健康的心靈。」"";",,"""\""健康的身心\"""";",,"""\""ร่างกายแข็งแรงจิตใจ แข็งแรง\"""";","""\""thân khỏe trí bền\"""";","""\""건강한 몸 건강한 마음\"""";"
12,Flabuless/Layouts/Common UI/Profile.strings,"""zTG-gH-HKf.text""","""username"";","""sfksdnfknskdfn"";","""sfksdnfknskdfn"";","""sfksdnfknskdfn"";","""username"";","""sfksdnfknskdfn"";",,"""sfksdnfknskdfn"";","""sfksdnfknskdfn"";","""sfksdnfknskdfn"";"
13,Flabuless/Layouts/Common UI/Profile.strings,"""9ai-Cf-AYL.normalTitle""","""6m"";","""6 महीना"";","""6bulan"";","""半年"";","""6ヶ月"";","""半年"";",,"""6 เดือน"";","""6tháng"";","""반년"";"
14,Flabuless/Layouts/Common UI/Profile.strings,"""wIM-SH-3KK.normalTitle""","""1w"";","""1 सप्ताह"";","""1w"";","""1 周"";","""1w"";","""1 周"";",,"""1 สัปดาห์"";","""1tuần"";","""일주"";"
15,Flabuless/Layouts/Common UI/Profile.strings,"""4yR-gB-FVg.text""",,"""प्रोफाइल जानकारी सार्वजनिक करें"";","""Buat profil saya menjadi publik"";","""公開我的帳戶"";",,"""公开我的账户"";",,"""กำหนดโปรไฟล์ให้เป็นแบบสาธารณะ"";","""Đặt hồ sơ của tôi ở chế độ công khai"";","""공개 계정"";"
16,Flabuless/Layouts/Common UI/Profile.strings,"""khJ-V7-EVR.text""","""Activities"";","""गतिविधियां"";","""Aktifitas"";","""活動"";","""アクティビティ"";","""活动"";",,"""กิจกรรม"";","""Hoạt động"";","""활동"";"
17,Flabuless/Layouts/Common UI/Profile.strings,"""0GJ-sa-z1e.normalTitle""","""Save"";","""सुरक्षित करें"";","""Simpan"";","""保存"";","""セーブ "";","""保存"";",,"""บันทึก"";","""Lưu"";","""완료"";"
18,Flabuless/Layouts/Common UI/Profile.strings,"""Iq8-J2-yeG.text""","""department"";","""डिपार्टमेंट"";","""departemen"";","""部門"";","""部門"";","""部门"";",,"""แผนก"";","""phòng ban"";","""부서"";"
19,Flabuless/Layouts/Common UI/Profile.strings,"""BVG-gu-SJ9.text""","""Activity History"";","""गतिविधि की हिस्ट्र्री  "";","""Riwayat Aktifitas"";","""活動歷史"";","""活動履歴"";","""活动历史记录"";",,"""ประวัติกิจกรรม"";","""Lịch sử Hoạt động"";","""활동 기록"";"
20,Flabuless/Layouts/Common UI/Profile.strings,"""ZOP-LD-ffY.text""","""empId"";",,,,"""会員"";",,,,,
21,Flabuless/Layouts/Common UI/Profile.strings,"""lpQ-iK-V3Q.text""","""Likes"";","""पसंद"";","""Suka"";","""個讚"";","""好き"";","""喜欢"";",,"""ชอบ"";","""Lượt Thích"";","""좋아요"";"
0,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""42p-DZ-9PH.placeholder""",,"""पासवर्ड "";","""Sandi"";","""密碼"";",,"""密码"";",,"""รหัสผ่าน"";","""Mật khẩu"";","""비밀번호"";"
1,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""GWj-RT-aU9.placeholder""","""Password"";",,,,"""パスワード"";",,,,,
2,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""z1C-ae-Q30.normalTitle""","""LOG IN"";","""लॉग इन करें"";","""masuk"";","""登錄"";","""ログイン"";","""登录"";",,"""เข้าสู่ระบบ"";","""ĐĂNG NHẬP"";","""로그인"";"
3,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""GWj-RT-aU9.title""","""PASSWORD"";",,,,"""パスワード"";",,,,,
4,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""dRd-FL-3fw.title""","""EMAIL ADDRESS OR COMPANY ID"";",,,,"""メールアドレスまたは会社ID"";",,,,,
5,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""bcN-FV-2w4.placeholder""",,"""ईमेल या उपयोगकर्ता का नाम"";","""Email atau nama pengguna"";","""電子信箱或使用者名稱"";",,"""电子邮箱或用户名"";",,"""อีเมล์หรือชื่อผู้ใช้"";","""Email hoặc Tên người dùng"";","""이메일 또는 사용자 이름"";"
6,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""qTD-Nj-Xmp.normalTitle""",,"""लोकेशन  >"";","""Lokasi >"";","""位置 >"";",,"""位置  >"";",,"""ตำแหน่งที่ตั้ง >"";","""Vị trí >"";","""위치 >"";"
7,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""GWj-RT-aU9.selectedTitle""","""PASSWORD"";",,,,"""パスワード"";",,,,,
8,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""FbO-hh-0Tf.text""","""V 1.0"";","""संस्करण:1.0"";","""Versi:1.0"";","""版本:1.0"";","""バージョン：1.0"";","""版本:1.0"";",,"""เวอร์ชัน: 1.0"";","""Phiên bản:1.0"";","""버전: 1.0"";"
9,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""el7-yR-094.text""","""I accept the Terms of service and Privacy Policy"";","""मैं उपयोग की शर्तें और गोपनीयता नीति स्वीकार करता हूँ "";","""Saya menerima Syarat Layanan dan Kebijakan Privasi"";","""我接受服務條款與隱私原則"";","""私は個人情報の取扱いに同意します"";","""我接受服务条款以及隐私政策"";",,"""ฉันยอมรับข้อกำหนดในการให้บริการและนโยบายความเป็นส่วนตัว"";","""Tôi đồng ý với các Điều khoản Dịch vụ và Chính sách Bảo mật"";","""이용 약관과 개인정보 보호정책에 동의합니다"";"
10,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""NYx-6C-8qP.normalTitle""","""Forgot Password?"";","""पासवर्ड भूल गए ?"";","""Lupa Sandi?"";","""忘了密碼？"";","""パスワードをお忘れですか？"";","""忘记密码？"";",,"""ลืมรหัสผ่าน"";","""Quên Mật khẩu ư ?"";","""비밀번호를 잊으 셨나요 ?"";"
11,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""dRd-FL-3fw.selectedTtile""","""EMAIL ADDRESS OR COMPANY ID"";",,,,"""メールアドレスまたは会社ID"";",,,,,
12,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""oUR-1Y-gJs.text""","""ID is 15 digit Benefit Station ID"";",,,,"""IDは15桁のベネフィット・ステーションIDになります。"";",,,,,
13,Flabuless/Layouts/Apps Specific/BenefitSt Fit/Login/LoginViewController.strings,"""dRd-FL-3fw.placeholder""","""Email address or Company ID"";",,,,"""メールアドレスまたは会社ID"";",,,,,
0,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""42p-DZ-9PH.placeholder""","""Password"";","""Password"";","""Password"";","""Password"";","""Password"";","""Password"";",,"""Password"";","""Password"";","""Password"";"
1,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""Vgq-WT-MXe.text""","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";",,"""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";"
2,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""bcN-FV-2w4.placeholder""","""Email or Username"";","""Email or Username"";","""Email or Username"";","""Email or Username"";","""Email or Username"";","""Email or Username"";",,"""Email or Username"";","""Email or Username"";","""Email or Username"";"
3,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""qTD-Nj-Xmp.normalTitle""","""Location  >"";","""Location  >"";","""Location  >"";","""Location  >"";","""Location  >"";","""Location  >"";",,"""Location  >"";","""Location  >"";","""Location  >"";"
4,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""FbO-hh-0Tf.text""","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",,"""Version:1.0"";","""Version:1.0"";","""Version:1.0"";"
5,Flabuless/Layouts/Apps Specific/FujiXeox/LoginViewController.strings,"""NYx-6C-8qP.normalTitle""","""Forgot Password ?"";","""Forgot Password ?"";","""Forgot Password ?"";","""Forgot Password ?"";","""Forgot Password ?"";","""Forgot Password ?"";",,"""Forgot Password ?"";","""Forgot Password ?"";","""Forgot Password ?"";"
0,Flabuless/Presentation Layer/Rewards/RewardDetailApi/LocationsMapViewController.strings,"""lKs-mV-AYT.text""","""Map"";","""नक्शा"";","""Peta"";","""地圖"";","""地図"";","""地图"";",,"""แผนที่"";","""Map"";","""지도"";"
0,Flabuless/Presentation Layer/Add meal/AddMealViewController.strings,"""6U2-2i-F7p.placeholder""","""Search to add food"";","""भोजन जोड़ने के लिए सर्च करें "";","""Cari untuk menambahkan makanan"";","""搜尋以新增食物"";","""検索して食品を追加する"";","""搜索以添加食物"";",,"""ค้นหาเพื่อเพิ่มอาหาร"";","""Tìm kiếm để thêm một món ăn"";","""검색해서 음식 추가"";"
1,Flabuless/Presentation Layer/Add meal/AddMealViewController.strings,"""iU2-6X-ePK.text""","""ADD MEAL"";","""भोजन जोड़ें "";","""TAMBAH MAKANAN"";","""新增餐點"";","""食事を追加する"";","""添加餐食"";",,"""เพิ่มมื้ออาหาร"";","""THÊM BỮA ĂN"";","""식단 추가"";"
2,Flabuless/Presentation Layer/Add meal/AddMealViewController.strings,"""Qod-nJ-HTJ.text""","""Recently added food"";","""हाल ही में जोड़ा गया भोजन"";","""Makanan yang baru ditambahkan"";","""最近新增食物"";","""最近追加された食べ物"";","""最近添加的食物"";",,"""อาหารที่เพิ่มเมื่อเร็ว ๆ นี้"";","""Các món ăn thêm vào gần đây"";","""최근 추가된 음식"";"
0,Flabuless/Presentation Layer/Rewards/NewRedeemedCells/RedeemRewardInstructions.strings,"""Vyy-fe-L5s.text""","""nascjnsjcasnjcnjasjcjnansjcjnajscnjjnascjasjncjjascjnasjcnjascjasncjasncasjncasjcnjasncjascsajcnjascn"";",,,,"""nascjnsjcasnjcnjasjcjnansjcjnajscnjjnascjasjncjjascjnasjcnjascjasncjasncasjncasjcnjasncjascsajcnjascn"";",,,,,
1,Flabuless/Presentation Layer/Rewards/NewRedeemedCells/RedeemRewardInstructions.strings,"""FUu-UK-qty.text""","""REDEMPTION INSTRUCTIONS"";",,,,"""リニューアル指示"";",,,,,
