,Unnamed: 0,files,keys,en,zh-Hans,vi,id,ms,th,ru
73,4,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""aQ0-Yj-zzl.text""",,,"""Label"";","""Label"";","""Label"";",,
74,0,SKOR/FacilityCheckInCategoriesView/FacilityCheckInCategoriesViewControllerCerraSG.strings,"""cBY-4Z-CNA.text""","""FACILITY CHECKIN"";","""登录设施"";","""Đăng ký Thiết bị"";","""SEMAK KEMUDAHAN"";","""FACILITY CHECKIN"";","""ตรวจสอบสิ่งอำนวยความสะดวกใน"";",
75,1,SKOR/FacilityCheckInCategoriesView/FacilityCheckInCategoriesViewControllerCerraSG.strings,"""p6m-cl-TLz.placeholder""","""   Search"";","""   搜索"";","""    Tìm kiếm"";","""   Cari"";","""   Search"";","""   ค้นหา"";",
76,0,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";","""用户名或电子邮件地址"";","""Email hoặc tên người dùng"";","""Email or Username"";","""Email or Username"";","""Email or Username"";",
77,1,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""Zrr-ot-gaa.text""","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",
78,2,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""BtW-RI-F0j.normalTitle""","""Location >"";","""位置 >"";","""Vị trí >"";","""Location >"";","""Location >"";","""Location >"";",
79,3,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""1SV-BZ-sQx.normalTitle""","""Forgot Password"";","""忘记密码？"";","""Forgot Password"";","""Forgot Password"";","""Forgot Password"";","""Forgot Password"";",
80,4,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""RsR-wR-d4i.text""","""I accept the Terms of service and Privacy Policy"";","""服务条款和隐私政策"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";",
81,5,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""HEc-v3-aMb.placeholder""","""Password"";","""密码"";","""Mật khẩu"";","""Password"";","""Password"";","""Password"";",
82,6,SKOR/Login/Murata/LogInViewControllerMurata.strings,"""KfV-me-zMJ.normalTitle""","""Login"";","""登录"";","""Đăng nhập"";","""Login"";","""Login"";","""Login"";",
83,0,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""4s0-gj-IZN.normalTitle""",,"""查看全部"";","""See All"";","""LIHAT SEMUA"";","""See All"";","""ดูรูปภาพทั้งหมด"";",
84,1,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""JS8-9U-yJ5.text""",,"""联络人"";","""Người liên hệ cho sự kiện"";","""Contact Person for the Event"";","""Contact Person for the Event"";","""ผู้ติดต่อสำหรับงานอีเว้นท์"";",
85,2,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""dsS-WU-r0G.text""",,"""地址"";","""Địa điểm tổ chức sự kiện"";","""Tempat Acara"";","""Event Venue"";","""สถานที่จัดงาน"";",
86,3,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""FZT-af-iTe.text""",,"""照片"";","""Ảnh"";","""Foto"";","""Photo"";","""รูปภาพทั้งหมด"";",
87,4,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""EZB-fC-d8g.normalTitle""",,"""阅读更多..."";","""Read More.."";","""Baca Lebih Lanjut.."";","""Read More.."";","""อ่านเพิ่มเติม."";",
88,5,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""PVc-uN-dQ8.text""",,"""活动时序"";","""EVENT TIMINGS"";","""Waktu Acara"";","""EVENT TIMINGS"";","""ระยะเวลาของอีเวนท์"";",
89,6,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""c4O-q3-Ge5.text""",,"""描述"";","""Description"";","""Deskripsi"";","""Description"";","""คำอธิบาย"";",
90,7,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""mib-Hm-iTd.normalTitle""",,"""阅读更多"";","""Read More"";","""Baca Lebih Lanjut"";","""Read More"";","""อ่านเพิ่มเติม"";",
91,8,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""YHM-1R-HuX.normalTitle""",,"""会参与"";","""ATTENDING"";","""hadir"";","""ATTENDING"";","""การเข้าร่วม"";",
92,9,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""aZC-Qb-Ejg.text""",,"""电话"";","""ĐIỆN THOẠI"";","""TELEFON"";","""PHONE"";","""โทรศัพท์"";",
93,10,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""QIi-rg-Fp1.text""",,"""电子邮件"";","""EMAIL"";","""E-mel"";","""EMAIL"";","""อีเมล์"";",
94,11,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""BY9-he-yBL.normalTitle""",,"""上载照片"";","""THÊM ẢNH"";","""LAMPIRKAN FOTO"";","""ADD PHOTO"";","""เพิ่มรูปภาพ"";",
95,12,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""dFA-oQ-0hX.text""",,"""活动点"";","""Điểm sự kiện"";","""Mata Acara"";","""EVENT Points"";","""คะแนนงานอีเว้นท์"";",
96,0,SKOR/Receipt/ReceiptImageViewer/ReceiptImageViewerViewController.strings,"""Zhd-vU-a0B.text""","""Receipt"";","""收据"";","""Biên lai"";","""RESIT"";","""Receipt"";","""ใบเสร็จ"";",
97,0,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""CWU-5D-haM.placeholder""","""Address Line 2"";","""地址行 2"";","""Address Line 2"";","""Alamat 2"";","""Address Line 2"";","""กรุณาใส่ที่อยู่ 2"";",
98,1,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""YpY-Rf-CiI.placeholder""","""Mobile"";","""移动"";","""Mobile"";","""No.Telefon Bimbit"";","""Mobile"";","""มือถือ"";",
99,2,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""DfT-YM-D4x.placeholder""","""First Name"";","""名字"";","""First Name"";","""Nama pertama"";","""First Name"";","""ชื่อ"";",
100,3,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""wmW-lK-6o1.placeholder""","""Address Line 1"";","""地址行 1"";","""Địa chỉ 1"";","""Alamat 1"";","""Address Line 1"";","""กรุณาใส่ที่อยู่ 1"";",
101,4,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""z4A-ig-Y6A.placeholder""","""Last Name"";","""姓氏"";","""Last Name"";","""Nama Akhir"";","""Last Name"";","""นามสกุล"";",
102,5,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""GLx-cp-UC3.normalTitle""","""Save"";","""救"";","""Save"";","""Simpan teks"";","""Save"";","""บันทึก"";",
103,6,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""lRG-Fn-LHB.placeholder""","""Official Title"";","""正式职称"";","""Official Title"";","""Gelaran Rasmi"";","""Official Title"";","""ชื่อทางการ"";",
104,7,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""JBH-7h-xCj.placeholder""","""Real Title"";","""真实称号"";","""Real Title"";","""Gelaran Sebenar"";","""Real Title"";","""ชื่อจริง"";",
105,8,SKOR/EditProfileViewStoryboard/EditProfileViewStoryboard.strings,"""L4k-Ak-4AZ.text""","""PROFILE"";","""简介"";","""PROFILE"";","""PROFIL"";","""PROFILE"";","""ข้อมูลโดยรวม"";",
106,0,SKOR/Sign Up/SignUpViewController.strings,"""Be3-Va-PcG.text""","""Sign Up"";","""注册"";","""Đăng Ký"";","""Daftar"";","""Sign Up"";","""สมัครสมาชิก"";",
107,1,SKOR/Sign Up/SignUpViewController.strings,"""4sY-Kl-l18.normalTitle""","""Done"";","""完成"";","""Xong"";","""Selesai"";","""Done"";","""เสร็จสิ้น"";",
108,0,SKOR/Presentation Layer/Settings/NewSetting/EarnPoints/EarnPointsTableViewCell.strings,"""mUp-xp-fDo.text""","""Instructions on how to get more points for \nthis category to be inserted here. The image \nat the side should appear automatically while \nthis text can be edited from django."";","""Instructions on how to get more points for \nthis category to be inserted here. The image \nat the side should appear automatically while \nthis text can be edited from django."";","""Hướng dẫn cách lấy thêm điểm cho thể loại này được chèn vào đây. Hình ảnh ở bên cạnh sẽ tự động xuất hiện trong khi văn bản này có thể được chỉnh sửa từ django."";","""Instructions on how to get more points for \nthis category to be inserted here. The image \nat the side should appear automatically while \nthis text can be edited from django."";","""Instructions on how to get more points for \nthis category to be inserted here. The image \nat the side should appear automatically while \nthis text can be edited from django."";","""คำแนะนำเกี่ยวกับวิธีรับคะแนนเพิ่มเติมสำหรับ \ n หมวดหมู่นี้ที่นี่ รูปภาพ \ n ด้านข้างควรปรากฏขึ้นโดยอัตโนมัติในขณะที่ \ n ข้อความนี้สามารถแก้ไขได้จาก django"";",
109,1,SKOR/Presentation Layer/Settings/NewSetting/EarnPoints/EarnPointsTableViewCell.strings,"""eZL-62-s2N.text""","""Monthly Awards"";","""Monthly Awards"";","""Giải thưởng hàng tháng"";","""Anugerah Bulanan"";","""Monthly Awards"";","""รางวัลประจำเดือน"";",
110,2,SKOR/Presentation Layer/Settings/NewSetting/EarnPoints/EarnPointsTableViewCell.strings,"""Ik8-cS-QC8.text""","""80"";","""80"";","""80"";","""80"";","""80"";","""80"";",
111,3,SKOR/Presentation Layer/Settings/NewSetting/EarnPoints/EarnPointsTableViewCell.strings,"""X4o-nc-ZfW.text""","""Monthly Award"";","""Monthly Award"";","""Giải thưởng hàng tháng"";","""Anugerah Bulanan"";","""Monthly Award"";","""รางวัลประจำเดือน"";",
112,4,SKOR/Presentation Layer/Settings/NewSetting/EarnPoints/EarnPointsTableViewCell.strings,"""3Ia-iF-t45.text""","""Points"";","""Points"";","""Điểm"";","""Point"";","""Points"";","""จุด"";",
113,0,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""tMY-VW-H1F.placeholder""","""Email Address"";","""电子邮件地址"";","""Địa chỉ email"";","""Email Address"";","""Email Address"";","""ที่อยู่อีเมล์"";",
