Translations Required,Russian
You dont have any referral as of now,На данный момент у вас нет рефералов
Add Referral,Добавить реферала
You have not checked in any facility and events yet.,Вы еще не зарегистрировались на площадку или событие.
Event Check In,Регистрация на событие
FACILITY CHECK-IN,РЕГИСТРАЦИЯ НА ПЛОЩАДКУ
You have not checked in any events yet.,Вы еще не зарегистрированы ни в одном событии.
Oops! No data to display,Упс! Нет данных для отображения
It\'s your colleague\'s birthday today.,Сегодня день рождения вашего коллеги.
It\'s your colleague\'s birthday on,День рождения вашего коллеги
It was your colleague\'s birthday on,День рождения вашего коллеги был
It\'s your birthday today.,Сегодня ваш день рождения.
It\'s your birthday on,Ваш день рождения
It was your birthday on,Ваш день рождения был
It\'s your colleague\'s %1$sanniversary today.,Сегодня у вашего коллеги %1$ годовщина.
It\'s your colleague\'s %1$sanniversary on,У вашего коллеги %1$ годовщина 
It was your colleague\'s %1$sanniversary on,У вашего коллеги была годовщина %1$
It\'s your %1$sanniversary today.,Сегодня у вас %1$ годовщина.
It\'s your %1$sanniversary on,У вас %1$ годовщина
It was your %1$sanniversary on,У вас была %1$ годовщина
Wish you a wonderful birthday.,Желаем Вам чудесного дня рождения.
There are no email clients installed.,Почтовые клиенты не установлены.
Wish you a wonderful Anniversary!,Желаем Вам чудесной годовщины!
Send mail....,Отправить письмо...
You have earned,Вы заработали
points to redeem,баллы для обмена
rewards to redeem,вознаграждения за баллы
You have,У вас есть
Nearby Rewards,Награды рядом
CODE,КОД
Redeemed on the,Обменяно
Your Promo code,Ваш промокод
Code copied to clipboard,Код скопирован в буфер обмена 
N/A,N/A
Press Link for more detail,Нажмите ссылку для получения более подробной информации
Please select any mobile number for call,"Пожалуйста, выберите любой номер мобильного телефона для звонка"
Please Enter vendor passcode,"Пожалуйста, введите код поставщика"
Redeeming this reward will deduct,При получении этого вознаграждения будет вычтено
from your account.,из вашего аккаунта
Delivery fee of,Комиссия за доставку в размере
points will be deducted. No further points will be deducted for subsequent redemptions today.,баллов будет вычтено. Сегодня Вы больше не сможете снимать баллы для последующего погашения
Collect from your office person-in-charge at the scheduled date each month.,Ежемесячно выдается ответственным сотрудником вашего офиса в запланированный день
ERROR!,ОШИБКА!
Please enter your Customer Id number,"Пожалуйста, введите свой идентификатор клиента"
Please enter your pln number,"Пожалуйста, введите пин-код"
Please Enter your phone,"Пожалуйста, введите номер вашего телефона"
Confirmation,Подтверждение
Are you sure you want to redeem,"Вы уверены, что хотите обменять"
Reward for this Phone No,Вознаграждение для этого номера телефона
Thank You!,Спасибо!
ERROR RESPONSE,ОШИБКА
Are you sure?,Вы уверены?
Loading Profile....,Загрузка профиля...
Loading Strengths....,Загрузка качеств...
NOMINATE,НОМИНИРОВАТЬ
Thanks for nominating,Благодарим за номинирование
APPRECIATE,НАЧИСЛИТЬ БЛАГОДАРНОСТЬ
Points remaining for allocations:,Осталось баллов к распределению:
Thanks for appreciating,Спасибо за оценку
Endorsing....,Одобрение...
Select at least one strength to appreciate,Выберите хотя бы одно качество для оценки
Select at least one strength to nominate,Выберите хотя бы одно качество для номинирования
Add subject related to,Добавить тему к
Add message related to,"Добавить сообщение, относящееся к"
New password and confirm password should be same.,Пароли должны совпадать.
Password must be 8 characters long!,Пароль должен состоять из 8 символов!
Password changed successfully.,Пароль успешно изменен.
Enter valid mobile number.,Введите действующий номер телефона.
Please enter your DOB,"Пожалуйста, введите вашу дату рождения"
Please enter mobile number.,"Пожалуйста, введите ваш номер телефона"
Please enter first name,"Пожалуйста, введите ваше имя."
Please enter last name,"Пожалуйста, введите вашу фамилию."
Please enter address1,"Пожалуйста, введите адрес 1"
Required permissions are not granted,Необходимые разрешения не получены
You can\'t select future date,Вы не можете выбрать будущую дату
Use Location ?,Использовать местоположение?
Switch on location for accurate steps tracking and check-ins,Включите местоположение для точного отслеживания шагов и отметок
Ignore,Игнорировать
Go To Settings,Перейти к Настройкам
No Google Fit App Installed,Приложение Google Fit не установлено
Go to Dashboard,Перейти к Панели управления
Download Google fit App.,Загрузить приложение Google fit.
Google Play Services is not installed,Google Play Services не установлены.
Enter Valid Username and Password.,Введите текущие имя пользователя и пароль.
Enter Valid username.,Введите текущее имя пользователя.
Enter Valid Password.,Введите текущий пароль.
Request,Запрос
Logging in....,Вход в систему...
LOGOUT,ВЫХОД
Please change password.,"Пожалуйста, измените пароль."
Proceed,Продолжить
Authenticating....,Аутентификация...
Please Logout and Login for app settings to take place,"Пожалуйста, выйдите и войдите заново, чтобы настройки приложения вступили в силу"
Warning,Предупреждение
Please install Google Fit app to continue. Click OK to connect to other available tracker.,"Для продолжения, пожалуйста, установите Google Fit. Щелкните ОК для подключения к другому доступному трекеру."
Get Google Fit app,Получить приложение Google Fit
Please click back again to exit,"Пожалуйста, нажмите еще раз, чтобы выйти"
Notice,Заметка
All permissions should be acquired,Все разрешения должны быть получены
Connection with S Health is not available,Подключение к S Health недоступно
Please install S Health,"Пожалуйста, установите S Health"
Please upgrade S Health,"Пожалуйста, обновите S Health"
Please enable S Health,"Пожалуйста, запустите S Health"
Please agree with S Health policy,"Пожалуйста, согласитесь с политикой S Health"
Please make S Health available,"Пожалуйста, сделайте S Health доступным"
Get in touch:,Оставайтесь на связи:
Birthday,День рождения
Anniversary,Годовщина
My role is,Моя роль
", but I\'m known as",", но меня знают как"
Please enter the OTP,"Пожалуйста, введите одноразовый пароль"
Your code is incorrect. Please try again,"Неверный код Пожалуйста, попробуйте снова."
"Resent the OTP, please check your inbox","Одноразовый пароль отправлен повторно, проверьте ваш почтовый ящик"
Server,Сервер
Please enter email-id,"Пожалуйста, введите адрес эл. почты"
Service Url,URL-адрес сервиса
Please Add Service Url.,"Пожалуйста, добавьте URL-адрес сервиса."
Submit,Отправить
Please Provide Right Plateform,"Пожалуйста, укажите правильную платформу"
Please Fill Base URL,"Пожалуйста, заполните базовый URL"
Successfully sent,Успешно отправлено
You\'re already connected to tracker,Вы уже подключены к трекеру
Successfully Connected,Успешно подключено
Already connected with this account.,Уже подключено к этому аккаунту
Redemption Code,Код обмена
Loading Image ....,Загрузка изображения...
Image Does Not exist or Network Error,Изображение не существует или ошибка сети
Downloading....,Загрузка...
Members,Участники
Rank :,Рейтинг:
You,Вы
Points Required,баллов требуется
No Greetings for today,На сегодня нет поздравлений
Announcements,Анонсы
(ISC)2 UPDATES,2 ОБНОВЛЕНИЯ
No Announcements,Нет анонсов
No Appointments today,Сегодня нет назначений
ACTIVITIES AND EVENTS,МЕРОПРИЯТИЯ И СОБЫТИЯ
EVENTS AND CPE OPPORTUNITIES,СОБЫТИЯ И ВОЗМОЖНОСТИ CPE
No Events or Training,Нет мероприятий или тренировок
Google Fit,Google Fit
Samsung Health,Samsung Health
Read Less,Скрыть
It\'s your,Ваш
It\'s your and 1 colleague,У вас и коллеги
Today,Сегодня
Colleague,Коллега
Colleague\'s,Коллеги
It\'s your and,Ваш и
FCM Message,Сообщение FCM
Successfully Disconnected,Успешно отключено
You are appreciating,Вы начисляете благодарность
. This will deduct,. Этим действием будет вычтено
by awarding,путем поощрения
POINT REWARDS,ВОЗНАГРАЖДЕНИЯ В ВИДЕ БАЛЛОВ
DISCOUNT,СКИДКА
DISCOUNT REWARDS,ВОЗНАГРАЖДЕНИЯ В ВИДЕ СКИДОК
Activity Trackers,Трекеры активности
Step Trackers,Трекеры шагов
You are not connected with Google Fit.,Вы не подключили Google Fit.
You are not connected with Google Fit.,Вы не подключили Google Fit.
Google Fit disabled,Google Fit выключен
Jawbone,Jawbone
Please Disconnect FitBit First,"Пожалуйста, отключите сначала FitBit"
Please Disconnect Jawbone First,"Пожалуйста, отключите сначала Jawbone"
Redeem discounts at merchant partners,Обменяйте баллы на скидки у компаний-партнеров
"Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work.","""Программа вознаграждений Astellas Reward Program – система поощрений и учета заслуг, которую разработала Astellas SESA. Цель программы – дать менеджменту компании инструмент учета заслуг и вознаграждений для сотрудников за высокие профессиональные и производственные достижения."""
Welcome to Astellas Rewards,Добро пожаловать в Astellas Rewards
Get the latest info,Получите самую свежую информацию
Get real-time updates on what\'s going on in your company and see upcoming events and activities,"Получайте в режиме реального времени обновления о том, что происходит в вашей компании, и следите за предстоящими событиями и мероприятиями."
Your Team Rank is,Ваш рейтинг в отделе — 
Top 10 Participants,Топ 10 участников
Hide Top 10 Participants,Скрыть топ 10 участников
Unable to log in with provided credentials.,Невозможно войти в систему с предоставленными учетными данными.
Redemption History,История обмена
Loading Users....,Загрузка пользователей...
Points Earned on,Заработано баллов
Total Points Earned,Всего баллов заработано
Congrats! You are now,Поздравляю! Вы сейчас
more points to become,"больше баллов, чтобы стать"
more points to get this reward,"больше очков, чтобы получить это вознаграждение"
NONE,НЕТ
Announcements,Анонсы
Event,Событие
View Detail,Просмотреть детали
Reward,Вознаграждение
Phone Number is not valid.,Номер телефона недействителен.
Please fill all fields.,"Пожалуйста, заполните все поля."
Email address is not valid.,Адрес эл. почты недействителен.
Successfully submitted the request.,Запрос успешно отправлен
Please input some text.,"Пожалуйста, введите любой текст"
Address Line 1 (Optional),Адресная строка 1 (необязательно)
Address Line 2 (Optional),Адресная строка 2 (необязательно)
Address Line 1,Адресная строка 1
Address Line 2,Адресная строка 2
Contact Number,Контактный номер
Pincode,ПИН-код
All fields are mandatory,Все поля обязательны для заполнения
Are you sure?,Вы уверены?
Toggle to enable Google Fit,"Переключите, чтобы включить Google Fit"
Toggle to enable Samsung Health,"Переключите, чтобы включить Samsung Health"
will result in steps being tracked from phone and may result in duplicate steps for today. This won\'t help with faster syncing of steps from,приведет к отслеживанию шагов с телефона и может привести к дублированию шагов за сегодня. Это не поможет ускорить синхронизацию шагов из
POINTS SUMMARY,СТАТИСТИКА ПО БАЛЛАМ
Point allocation,Распределение баллов
Repeated event,Повторяющееся событие
Please install Google Calendar app from Play Store to use this functionality,"Пожалуйста, установите Google Calendar из Play Store для использования этого функционала"
Loading Data....,Загрузка данных...
Updating Data....,Обновление данных...
Deleting....,Удаление...
Event:,Событие:
for,для
PROCESSING,В ОБРАБОТКЕ
FILTER BY TEAMS,ФИЛЬТРОВАТЬ ПО ОТДЕЛАМ
Profile Settings,Настройки профиля
[username],[имя пользователя]
[connection state],[состояние подключения]
Done,Завершено
Select Strength,Выбрать качества
Subject,Тема
Change,Изменить
Add your subject here,Добавьте сюда свою тему
Add your message here,Добавьте сюда свое сообщение
Change Password,Изменить пароль
Old Password,Старый пароль
New Password,Новый пароль
Confirm New Password,Подтвердить новый пароль
Details,Детали
EDIT PROFILE,РЕДАКТИРОВАТЬ ПРОФИЛЬ
Change Photo,Изменить фото
First Name,Имя
Last Name (Optional),Фамилия (необязательно)
Official Title (Optional),Официальная должность (необязательно)
Real Title (Optional),Фактическая должность(необязательно)
DOB,Дата рождения
Make my birthday public,Сделать дату рождения публичной 
Mobile (Optional),Мобильный (необязательно)
Company,Компания
Department,Департамент
Emergency Call,Экстренный звонок
PHONE,ТЕЛЕФОН
Phone,Телефон
SMS,SMS
BUSINESS REFERRAL,БИЗНЕС-РЕФЕРАЛ
EMPLOYEE REFERRAL,РЕФЕРАЛЫ СОТРУДНИКОВ
Position,Положение
Name of the Candidate,Имя кандидата
Phone - Home,Телефон - домашний
Phone - Mobile,Телефон - мобильный
Information,Информация
FEEDBACK & SUPPORT,ОБРАТНАЯ СВЯЗЬ И ПОДДЕРЖКА
FAQs,FAQ (Часто задаваемые вопросы)
Tutorial,Туториал
Profile,Профиль
EDIT,РЕДАКТИРОВАТЬ
"Sorry, no rewards available at this location at the moment.","К сожалению, на данный момент в этом месте нет вознаграждений."
COPY,КОПИРОВАТЬ
REDEEMED,ОБМЕНЯНО
Enter Phone Number,Введите номер телефона
Please Enter Phone Number   to Redeem this Topup.,"""Введите номер телефона, чтобы получить это вознаграждение."""
Enter your mobile number,Введите ваш номер мобильного телефона
CONFIRM,ПОДТВЕРДИТЬ
REFERRAL,РЕФЕРАЛ
Full Name,Полное имя
APPS & DEVICES,ПРИЛОЖЕНИЯ И УСТРОЙСТВА
Runkeeper,Runkeeper
Connected,Подключено
Connect,Подключить
Strava,Strava
Jawbone,Jawbone
Fitbit,Fitbit
GOOGLE FIT ACCOUNT,GOOGLE FIT АККАУНТ
Disconnect,Отключить
Which Mechanism You Would Like,Какие устройства вы хотите
To Connect To Track Your Steps?,подключить для отслеживания количества шагов?
Msg,Сообщение
View More,Смотреть еще
Be fit and healthy,Поддерживайте здоровую форму
Our step tracker will help you keep track off your fitness and health Wherever you are,"Наш шагомер поможет вам отслеживать вашу физическую форму и здоровье, где бы вы ни находились."
swipe to see what\'s next,"проведите пальцем, чтобы увидеть, что будет дальше"
text,текст
Send Your Wishes,Отправьте ваши пожелания
Greetings,Поздравления
APPOINTMENTS,ДЕЛОВЫЕ ВСТРЕЧИ
July 2015,Июль 2015
WEEK,НЕДЕЛЯ
MONTH,МЕСЯЦ
Add Appointments,Добавить деловую встречу
REDEEM,ОБМЕНЯТЬ
DASHBOARD,ПАНЕЛЬ УПРАВЛЕНИЯ
WHAT\'S ON TODAY,НА СЕГОДНЯ
You want to redeem this reward,Вы хотите получить это вознаграждение
member,участник
Total Points,Общее количество баллов
averagepoint,Среднее количество баллов
Please enter Customer Id to redeem this topup.,"Введите идентификатор клиента, чтобы получить это вознаграждение."
Preview Message,Предпросмотр сообщения
DOWNLOADED IMAGE,ЗАГРУЖЕННОЕ ИЗОБРАЖЕНИЕ
Enter Pln Number,Введите пин-код
Please enter Pln Number to redeem this topup.,"Пожалуйста, введите пин-код, чтобы получить это вознаграждение."
Description,Описание
Event Time,Время события
Website,Веб-сайт
Points,Баллы
ADDRESS,АДРЕС
WHOM TO CONTACT FOR THE EVENT,С КЕМ СВЯЗАТЬСЯ ПО ПОВОДУ ЭТОГО СОБЫТИЯ
Photo,Фото
ADD PHOTO,ДОБАВИТЬ ФОТО 
SAVE,Сохранить
Title,Должность
Read More,Читать дальше
TERMS AND CONDITIONS,УСЛОВИЯ И ПОЛОЖЕНИЯ
Terms & Conditions,Условия и положения
OPTION,ПАРАМЕТР
Filter Categories By,Фильтровать категории по
Vendor Passcode,Код поставщика
Please Enter Your Passcode,"Пожалуйста, введите ваш код"
CONVERSATIONS,ДИАЛОГИ
Direct Delivery Address,Адрес для прямой доставки
Confirm Redemption,Подтвердите обмен
FACILITY CHECKIN,РЕГИСТРАЦИЯ НА ПЛОЩАДКУ
Select Contact,Выбрать контакт
Search by name or email,Поиск по имени или эл.почте
Enable Google Fit,Запустите Google Fit
Get organized,Упорядочить дела
Synchronize the app with your phone calendar to help you organize your schedule better,Для оптимизации расписания синхронизуйте приложение с календарем в телефоне
Get Rewards,Получить вознаграждения
Collect points and redeem your rewards at merchant partners,Набирайте баллы и обменивайте их на вознаграждения у торговых партнеров
"Connect with google fit app.This will make a healthy change in your life by becoming more active, aware and motivated.","Подключитесь к Google Fit. Это изменит вашу жизнь к лучшему: вы станете более активным, осознанным и мотивированным."
Google Fit App Installed,Приложение Google Fit установлено
Location Services Enable,Местоположение включено
Autheticated to Google fit,Подключено к Google Fit
"Note: To ensure that this app functions optimally on your phone, download Google Fit and sync this app with the same gmail account as Google Fit.","Примечание. Чтобы это приложение оптимально работало на вашем телефоне, загрузите Google Fit и синхронизируйте это приложение с той же учетной записью Gmail, что и Google Fit."
Greet your colleagues,Приветствуйте своих коллег
Send personalized birthday wishes and greetings to your colleagues,Создавайте для коллег уникальные поздравления в честь Дня рождения или других событий.
HISTORY,ИСТОРИЯ
Scan,Сканирование
Select Delivery Mode,Выбрать вид доставки
Direct delivery,Прямая доставка
Office Pick-up,Забрать в пункте выдачи
Next,Дальше
LEADERBOARD,ТАБЛИЦА ЛИДЕРОВ
Individual,Личное
Week,Неделя
Month,Месяц
TOTAL PTS,ОБЩЕЕ КОЛИЧЕСТВО БАЛЛОВ
Total Pts,Общее количество баллов
AVERAGE PTS,Среднее количество баллов
Avg Pts,Ср. кол-во баллов
Team,Отдел
Location Alert,Оповещение о местоположении
Location not found please switch on the location.,"Местоположение не найдено, включите местоположение."
LOCATIONS,МЕСТОПОЛОЖЕНИЯ
Username,Имя пользователя
POINTS SUMMARY,СТАТИСТИКА ПО БАЛЛАМ
Remaining Points,Оставшиеся баллы
Total Redeemed,Всего обменяно
Map Voucher,Ваучер на карту
View Point Rewards,Просмотреть вознаграждение баллами
View Discount Rewards,Просмотреть вознаграждение скидками
YEAR,ГОД
OVERALL,ВСЕГО
BASIC,БАЗОВЫЙ
PRO,PRO
ELITE,ЭЛИТНЫЙ
NOTIFICATIONS,УВЕДОМЛЕНИЯ
Oops. No notifications at the moment.,Упс! На данный момент уведомлений нет.
Slide Left To Delete,Проведите влево для удаления
Reset instructions have been sent to your email address,Инструкции по сбросу были отправлены на ваш адрес электронной почты.
Rewards,Вознаграждения
YOUR REWARDS,ВАШИ ВОЗНАГРАЖДЕНИЯ
ALL REWARDS,ВСЕ ВОЗНАГРАЖДЕНИЯ
CONTACT,КОНТАКТ
ABOUT,О НАС
About,О нас
Add,Добавить
Organizer,Организатор
Community,Сообщество
STEPS SUMMARY,СТАТИСТИКА ШАГОВ
Weekly,Еженедельно
Steps Tracked Today,Сегодня пройдено шагов
Your Daily Average Steps,Среднее количество пройденных шагов за день
Connected With,Подключено к
PHOTOS,ФОТО
View All,ПРОСМОТРЕТЬ ВСЕ
CHAT,ЧАТ
CALENDAR,КАЛЕНДАРЬ
ADD ACTIVITY,ДОБАВИТЬ МЕРОПРИЯТИЕ
EMERGENCY SERVICES,ЭКСТРЕННЫЕ СЛУЖБЫ
CONNECT APPS & DEVICES,ПОДКЛЮЧЕНИЕ ПРИЛОЖЕНИЙ И УСТРОЙСТВ
Employee Engagement Program,Программа вовлечения сотрудников
AXA DRIVE,AXA DRIVE
My Axa Health,Мой Axa Health
Employee Engagement,Вовлечение сотрудников
Password,Пароль
Forgot Password?,Забыли пароль?
Forgot your password?,Забыли свой пароль?
Enter your email address below and we\'ll send you instructions on how to change your password.,"Введите ниже свой адрес эл. почты, и мы отправим вам инструкции по изменению пароля."
Requesting....,Запрашиваем...
What\'s Happening,Что происходит
We have sent you a secure OTP to your registered email,Мы отправили безопасный одноразовый пароль на ваш адрес эл. почты.
SUBMIT,ОТПРАВИТЬ
Reset instructions have been sent to,Инструкция по сбросу пароля была отправлена на
No Internet Connection,Нет интернет-подключения
Barcode for redemption,Баркод для обмена
Disconnecting....,Отключение...
Disconnecting,Отключение
Please wait....,"Пожалуйста, подождите..."
Version,Версия
Hello blank fragment,Hello blank fragment
Cancel,Отмена
Search Result,Результаты поиска
OK,OK
Select email id,Выберите адрес эл. почты
Select phone number,Выберите номер телефона
Staff Referral,Реферал сотрудника
Email,Эл. почта
Residential Address,Адрес проживания
Citizenship,Гражданство
Highest Academic Qualification,Максимальный достигнутый уровень образования
Highest Early Childhood Educational Qualification,Высшая квалификация дошкольного образования
Currently Pursuing,Текущая ступень обучения
Please enter full name,"Пожалуйста, введите полное имя"
Please enter contact number,"Пожалуйста, введите контактный номер"
Please enter email,"Пожалуйста, введите адрес эл. почты"
Please enter the address,"Пожалуйста, введите адрес"
Please select citizenship,"Пожалуйста, выберите гражданство"
Please select position,"Пожалуйста, выберите положение"
Please select highest qualification,"Пожалуйста, выберите высшую квалификацию"
Please select early qualification attained,"Пожалуйста, выберите ранее полученную квалификацию"
Please select currently pursuing,"Пожалуйста, выберите текущую ступень обучения"
Successfully Referred,Успешно рекомендовано
Redeeming....,Обмен...
EVENTS,СОБЫТИЯ
GREETINGS,ПОЗДРАВЛЕНИЯ
ANNOUNCEMENTS,АНОНСЫ
APPOINTMENTS,ДЕЛОВЫЕ ВСТРЕЧИ
Reading contacts :,Чтение контактов:
healthy-activities,здоровый образ жизни
referral,реферал
check-in-events,регистрация на события
check-in-events-facilities,регистрация на события и объекты
corporate-program,корпоративная программа
employee-rewards,Вознаграждения сотрудников
CBO Rewards,Вознаграждения CBO
Choose,Выбрать
View Profile,Просмотреть профиль
ENTER OTP,ВВЕДИТЕ ОДНОРАЗОВЫЙ ПАРОЛЬ
Resend Code,Отправить код повторно
Settings,Настройки
It\'s yours and,Ваш и
It\'s your birthday,Ваш день рождения
It\'s your anniversary,У Вас годовщина
colleagues\'s birthday,день рождения коллеги
colleagues\'s anniversary,годовщина у ваших коллег
Please provide storage permission to continue using this functionality,"Пожалуйста, предоставьте доступ к хранилищу, чтобы продолжить использование этой функции"
Please provide storage and camera permissions to continue using this functionality,"Пожалуйста, предоставьте доступ к хранилищу и камере, чтобы продолжить использование этой функции"
Please grant location permission to continue using the functionality,"Пожалуйста, предоставьте разрешение на доступ к местоположению, чтобы продолжить использование этой функции"
Checking in....,Регистрация...
Uploading image....,Загрузка изображения...
Checking....,Проверка...
Appreciate,Начислить благодарность
VALID TILL,СРОК ДЕЙСТВИЯ ДО
POINT,БАЛЛ
DISCOUNT,СКИДКА
App needs access to calendar for adding RSVPed events,Приложению необходим доступ к календарю для добавления события
App needs access to external storage and camera for selecting photo,Приложению необходим доступ к внешнему хранилищу и камере для выбора фото
App needs access to external storage for sharing the image,Приложению необходим доступ к внешнему хранилищу для публикации изображения
App needs access to location for finding nearby rewards,Приложению необходим доступ к местоположению для поиска наград поблизости
App needs access to location for finding nearby facilities,Приложению необходим доступ к местоположению для поиска ближайших объектов
App needs access to location for checking in to events,Приложению необходим доступ к местоположению для регистрации событий
App needs access to location for checking in to facility,Приложению необходим доступ к местоположению для регистрации на площадку
Verification Failed,Проверка не пройдена
You cannot edit this.,Вы не можете редактировать это.
Select Organization,Выбрать организацию
There is no other organization available.,Другие организации недоступны.
1 Referral,1 реферал
3 Referrals,3 реферала
5 Referrals,5 рефералов
8 Referrals,8 рефералов
Referrals,Рефералы
Successful Placement:,Успешное размещение:
Refer 2 more to attain Silver Tier,"Пригласите еще двух рефералов, чтобы получить серебряный уровень"
"Get 10,000 bonus points when you attain this tier",Получите 10 000 бонусных баллов при достижении этого уровня
"Get 60,000 bonus points when you attain this tier",Получите 60 000 бонусных баллов при достижении этого уровня
"Get 80,000 bonus points when you attain this tier",Получите 80 000 бонусных баллов при достижении этого уровня
Others,Другие
Logout,Выход
Refer 1 successfully to attain Bronze Tier,"Пригласите одного реферала, чтобы получить бронзовый уровень"
Select your citizenship,Выберите ваше гражданство
Select your position,Выберите ваше положение
