keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>failed_to_authenticate_layer,Failed to authenticate with Layer:,Gagal mengesahkan dengan Layer:,,Không thể xác thực với Layer:,无法使用层进行验证：,无法使用层进行验证：
string-->>welcome_to_the,Welcome to the,Selamat datang ke,,Chào mừng đến với,欢迎来到,欢迎来到
string-->>group,group.,kumpulan.,,nhóm.,组。,组。
string-->>unknown_participant,Unknown Participant,Peserta tidak diketahui,,Người tham gia vô danh,未知参与者,未知参与者
string-->>is_typing,is typing,sedang menaip,,đang đánh máy,正在键入,正在键入
string-->>please_grant_location_permission,Please grant location permission to continue using the app,Sila berikan kebenaran lokasi untuk terus menggunakan aplikasinya,โปรดยินยอมให้ใช้ตำแหน่งที่ตั้งเพื่อใช้งานแอพต่อไป,Vui lòng cho phép định vị để tiếp tục sử dụng ứng dụng,请授予位置权限以继续使用应用,请授予位置权限以继续使用应用
string-->>not_attending,not_attending,tidak hadir,,not_attending,不能参加,不能参加
string-->>attending,attending,hadir,การเข้าร่วม,đang tham dự,参加,参加
string-->>attended,attended,telah menghadiri,ได้เข้าร่วม,đã tham dự,参加,参加
string-->>there_are_no_email_client_installed,There are no email clients installed.,Tiada pelanggan e-mel yang dipasang.,ไม่มีการติดตั้งอีเมล์ลูกค้า,Không có trình duyệt email nào được cài đặt.,未安装电子邮件客户端。,未安装电子邮件客户端。
string-->>please_install_google_map_application,Please install Google Map application from Play Store.,Sila pasang aplikasi Google Map dari Play Store.,โปรดติดตั้งแอพพลิเคชั่น Google Map จาก Play Store,Vui lòng cài đặt ứng dụng Google Map từ Cửa hàng Play.,请安装谷歌地图应用程序从Play商店。,请安装谷歌地图应用程序从Play商店。
string-->>no_user_joined_this_group,Currently there are no users joined this group.,Pada masa ini tiada pengguna menyertai kumpulan ini.,,Hiện tại không có người dùng nào tham gia nhóm này.,目前没有用户加入此组。,目前没有用户加入此组。
string-->>message,Message,Mesej,ข้อความ,Tin nhắn,信息,信息
string-->>select_source,Select source,Pilih sumber,เลือกแหล่งที่มา,Chọn nguồn,选择源,选择源
string-->>sure_dont_want_title,Are you sure you dont want to add title?,Adakah anda pasti anda tidak mahu menambah tajuk?,คุณแน่ใจหรือไม่ว่าไม่ต้องการเพิ่มคำนำหน้าชื่อ?,Bạn có chắc là mình không muốn thêm chức vụ?,是否确实不想添加称号？,是否确实不想添加称号？
string-->>image_size_less_than_6mb,Image Size Should be less than 6 MB,Saiz Imej Harus kurang dari 6 MB,ขนาดภาพควรน้อยกว่า 6 MB,Kích thước hình ảnh Nên nhỏ hơn 6 MB,图像应该小于 6 MB,图像应该小于 6 MB
string-->>updated_successfully,Updated Successfully,Dikemaskini Berjaya,อัพเดทสำเร็จแล้ว,Cập nhật Thành công,成功更新,成功更新
string-->>server_technical_error,We\'ve encountered a technical error.our team is working on it. please try again later,Kami telah mengalami kesilapan teknikal. Pasukan kami sedang mengusahakannya. sila cuba sebentar lagi,เราพบข้อผิดพลาดทางเทคนิค ทีมงานของเรากำลังดำเนินการอยู่ กรุณาลองใหม่อีกครั้งในภายหลัง,Chúng tôi đã đang gặp phải lỗi kỹ thuật. nhóm chúng tôi đang khắc phục lỗi đó. vui lòng thử lại sau,技术故障，请稍后再试,技术故障，请稍后再试
string-->>attend,RSVP,RSVP,โปรดตอบกลับ,Vui lòng phúc đáp,RSVP,RSVP
string-->>successfully_attending_event,You are successfully attending Event,Anda berjaya menghadiri Acara,คุณเข้าร่วมกิจกรรมสำเร็จแล้ว,Bạn đang tham dự Sự kiện thành công,您已成功参加活动,您已成功参加活动
string-->>successfully_skip_event,You have successfully Skip Event,Anda berjaya melangkau Event,คุณไม่เข้าร่วมกิจกรรมสำเร็จแล้ว,Bạn đã Bỏ qua Sự kiện thành công,您已成功取消参与活动,您已成功取消参与活动
string-->>skip_event,Skip Event,Melangkau Event,ข้ามอีเว้นท์,Bỏ qua Sự kiện,取消参与活动,取消参与活动
string-->>check_in,Check In,Daftar masuk,ลงทะเบียน,Đăng ký,签入,签入
string-->>checked_in,Checked In,Mengambil bahagian,ละทะเบียนแล้ว,Đã đăng ký,已签入,已签入
string-->>successfully_checked_in_event,You have successfully Checked In Event,Anda telah berjaya mangambil bahagian dalam Acara,คุณลงทะเบียนอีเวนท์สำเร็จแล้ว,Bạn đã Đăng ký Sự kiện thành công,您已成功签入活动,您已成功签入活动
string-->>start,START:,MULA:,เริ่ม:,BẮT ĐẦU:,开始：,开始：
string-->>at,at,di,ที่,tại,在,在
string-->>end,END:,TAMAT:,สิ่นสุด:,KẾT THÚC:,结束：,结束：
string-->>failed_sync_conversation,Failed to sync conversation. Please click on chat icon to start conversation,Gagal menyegerakkan perbualan. Sila klik pada ikon sembang untuk memulakan perbualan,,Không thể đồng bộ hóa cuộc trò chuyện. Vui lòng nhấp vào biểu tượng trò chuyện để bắt đầu hội thoại,无法同步对话。请点击聊天图标开始对话,无法同步对话。请点击聊天图标开始对话
string-->>oops,Oops,Alamak,อุ๊บส์,Rất tiếc,哎呀,哎呀
string-->>storage_permisison_manually,"Unable to open the Gallery. Please tap Settings, go to Application info > Permissions, then allow Storage Permission and try again.","Tidak dapat membuka Galeri. Sila ketik Tetapan, pergi ke Info aplikasi> Kebenaran, kemudian izinkan Kebenaran Penyimpanan dan cuba lagi.",ไม่สามารถเปิดคลังภาพได้ กรุณาแตะที่ตั้งค่า ไปที่อนุญาตให้ใช้ข้อมูลแอพพลิเคชั่น จากนั้นอนุญาตให้จัดเก็บข้อมูล แล้วลองอีกครั้ง,"Unable to open the Gallery. Please tap Settings, go to Application info > Permissions, then allow Storage Permission and try again.",允许储存,允许储存
string-->>grant_calendar_permission_rsvp_event,Please grant calendar permission to add RSVPed event to Calendar app,Sila berikan kebenaran kalendar untuk menambah acara yang telah RSVP ke aplikasi Kalendar,โปรดยินยอมให้ใช้ปฏิทินเพื่อเพิ่มการตอบกลับร่วมงานอีเวนท์ที่ปฏิทินในแอพ,Vui lòng cấp quyền cho lịch biểu để thêm sự kiện đã yêu cầu phúc đáp vào ứng dụng Calendar,请授予日历权限，将 RSVP活动添加到日历应用,请授予日历权限，将 RSVP活动添加到日历应用
string-->>please_enter_the_password,Please enter the password,Sila masukkan kata laluan,กรุณาป้อนรหัสผ่าน,Xin vui lòng nhập mật khẩu,请输入密码,请输入密码
string-->>see_all_photo,See All Photos,Lihat Semua Foto,ดูรูปภาพทั้งหมด,Xem Tất cả Ảnh,查看所有照片,查看所有照片
string-->>attendance_confirmed,Thank you. Your attendance has been confirmed. See you at the event!,Terima kasih. Kehadiran anda telah disahkan. Lihat awak pada acara itu!,ยืนยันเข้าร่วม,Cảm ơn bạn. Bạn đã được xác nhận tham dự. Hẹn gặp bạn tại sự kiện!,谢谢。您的出席已确认。活动上见！,谢谢。您的出席已确认。活动上见！
string-->>checkin_confirmed,Check-In Confirmed,Daftar Masuk Dikonfirmasi,ยืนยันการลงทะเบียน,Đã xác nhận Đăng ký,签入确认,签入确认
string-->>rsvp_withdrawn,RSVP Withdrawn,RSVP ditarik balik,ถอนการตอบกลับ,Rút lại yêu cầu phúc đáp,RSVP 撤回,RSVP 撤回
string-->>join_chat_room,Join Chat Room,Sertai Bilik Sembang,,Tham gia Phòng Trò chuyện,加入聊天室,加入聊天室
string-->>would_you_like_to_join_chat_room,Would you like to join this event chat room?,Adakah anda ingin menyertai bilik sembang acara ini?,,Bạn có muốn tham gia phòng trò chuyện của sự kiện này không?,您想加入此活动聊天室吗？,您想加入此活动聊天室吗？
string-->>join,Join,Sertai,,Tham gia,加入,加入
string-->>no,No,Tidak,ไม่ใช่,Không,否,否
string-->>successfully_joined_chat_group,You\'ve successfully joined the chat group,Anda telah berjaya menyertai kumpulan sembang,,Bạn đã tham gia nhóm trò chuyện thành công,您已成功加入聊天组,您已成功加入聊天组
string-->>subscribed,subscribed,Telah melanggan,,đã đăng ký,订阅,订阅
string-->>waiting_for_network,Waiting for network!,Menunggu rangkaian!,รอการเชื่อมโยงเครือข่าย!,Đang chờ mạng!,等待网络！,等待网络！
string-->>image_size_less_than_20mb,Image Size Should be less than 20 MB,Saiz Imej Harus kurang daripada 20 MB,ขนาดรูปภาพควรน้อยกว่า 20 MB,Kích thước Hình ảnh Nên nhỏ hơn 20 MB,图像应该少于20 MB,图像应该少于20 MB
string-->>delete,DELETE,PADAM,ลบ,XÓA,删除,删除
string-->>sure_delete_photo,Are you sure you want to delete this photo?,Adakah anda pasti mahu memadamkan foto ini?,คุณแน่ใจหรือไม่ว่าต้องการลบรูปภาพนี้?,Bạn có chắc là mình muốn xóa ảnh này không?,是否确实要删除此照片？,是否确实要删除此照片？
string-->>yes,YES,YA,ใช่,CÓ,是,是
string-->>by,by,oleh,โดย,bằng,由,由
string-->>social_apps_not_installed,"Whatsapp,Instagram,Twitter,Facebook have not been installed.","Whatsapp, Instagram, Twitter, Facebook belum dipasang.","ยังไม่ได้ติดตั้ง Whatsapp,Instagram,Twitter และ Facebook","Whatsapp, Instagram, Twitter, Facebook chưa được cài đặt.",Whatsapp，Instagram，推特，脸谱尚未安装。,Whatsapp，Instagram，推特，脸谱尚未安装。
string-->>edit_caption,EDIT CAPTION,Sunting kapsyen,แก้ไขคำบรรยายภาพ,SỬA LẠI CHÚ THÍCH,编辑称号,编辑称号
string-->>enter_caption,Enter caption,Masukkan kapsyen,ป้อนคำบรรยายภาพ,Nhập chú thích,输入称号,输入称号
string-->>search,Search,Cari,ค้นหา,Tìm kiếm,探索,探索
string-->>nearby,Nearby,Berdekatan,ใกล้เคียง,Lân cận,附近,附近
string-->>location_not_found,Location not found,Lokasi tidak dijumpai,ไม่พบตำแหน่งที่ตั้ง,Không tìm thấy vị trí,未找到位置,未找到位置
string-->>unable_to_get_your_location,Unable to get your location,Tidak dapat mendapatkan lokasi anda,ไม่สามารถรับตำแหน่งที่ตั้งของคุณ,Không thể nhận được vị trí của bạn,无法获取您的位置,无法获取您的位置
string-->>grant_location_permission,Please grant location permission to continue using this functionality,Sila berikan kebenaran lokasi untuk terus menggunakan fungsi ini,โปรดยินยอมให้ใช้ตำแหน่งที่ตั้งเพื่อการใช้งานฟังก์ชั่นต่อไป,Vui lòng cho phép định vị để tiếp tục sử dụng chức năng này,请授予位置权限以继续使用此功能,请授予位置权限以继续使用此功能
string-->>settings,SETTINGS,Tetapan,การตั้งค่า,CÀI ĐẶT,设置,设置
string-->>pts,pts,mata,คะแนน,pts,分,分
string-->>total_points_as_of,Total Points as of,Jumlah Mata pada,คะแนนรวม ณ วันที่,Tổng số Điểm kể từ,截至,截至
string-->>no_data_in_health_activity,No Data in Healthy Activity.,Tiada Data dalam Aktiviti Sihat.,,Không có Dữ liệu trong Hoạt động Lành mạnh.,"""健康活动""中没有数据。","""健康活动""中没有数据。"
string-->>not_connected_to_any_apps,You are not connected to any apps,Anda tidak bersambung dengan mana-mana aplikasi,,Bạn chưa kết nối với bất kỳ ứng dụng nào,您未连接到任何应用,您未连接到任何应用
string-->>no_data_in_program,No Data in Programs/Activities.,Tiada Data dalam Program / Aktiviti.,,Không có Dữ liệu trong Chương trình / Hoạt động.,计划/活动中没有数据。,计划/活动中没有数据。
string-->>dont_have_referal_now,You dont have any referral as of now,Anda tidak mempunyai sebarang rujukan sekarang,,Bạn không có bất kỳ việc giới thiệu nào kể từ bây giờ,到目前为止，您没有任何推荐,到目前为止，您没有任何推荐
string-->>add_referral,Add Referral,Tambah Rujukan,,Thêm Giới thiệu,添加推荐,添加推荐
string-->>havent_checked_any_facility_event,You have not checked in any facility and events yet.,Anda belum mendaftar masuk sebarang kemudahan dan acara.,,Bạn chưa đăng ký bất kỳ cơ sở và sự kiện nào.,您尚未签入任何设施和活动。,您尚未签入任何设施和活动。
string-->>event_check_in,Event Check In,Acara untuk cek in,ลงทะเบียนอีเวนท์,Đăng ký sự kiện,活动签入,活动签入
string-->>facility_check_in,FACILITY CHECK-IN,cek in kemudahan,,ĐĂNG KÝ CƠ SỞ,设施值机入住,设施值机入住
string-->>havent_checked_any_event,You have not checked in any events yet.,Anda belum mendaftar masuk dalam sebarang acara.,คุณไม่ได้ลงทะเบียนในอีเวนท์ใดๆ,Bạn chưa đăng ký bất kỳ sự kiện nào.,您尚未签入任何活动。,您尚未签入任何活动。
string-->>no_data_to_display,Oops! No data to display,Alamak! Tiada data untuk dipaparkan,ไม่มีข้อมูลแสดง,Rất tiếc! Không có dữ liệu nào để hiển thị,哎呀！没有要显示的数据,哎呀！没有要显示的数据
string-->>colleague_bday_today,It\'s your colleague\'s birthday today.,Hari lahir rakan sekerja anda hari ini.,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด today.,Hôm nay là ngày sinh nhật đồng nghiệp bạn.,今天是你同事的生日。,今天是你同事的生日。
string-->>is_your_colleague_bday_on,It\'s your colleague\'s birthday on,Ini hari jadi rakan sekerja anda,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด บน,Ngày sinh nhật của đồng nghiệp bạn là vào,今天是你同事的生日,今天是你同事的生日
string-->>was_your_colleague_bday_on,It was your colleague\'s birthday on,Ia adalah hari jadi rakan sekerja anda,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด บน,Ngày sinh nhật của đồng nghiệp bạn đã là vào,这是你同事的生日,这是你同事的生日
string-->>your_bday_today,It\'s your birthday today.,Hari lahir and a hari ini.,มันเป็นของคุณ วันเกิด today.,Hôm nay là ngày sinh nhật của bạn.,今天是你的生日。,今天是你的生日。
string-->>is_your_bday_on,It\'s your birthday on,Ia hari jadi anda,มันเป็นของคุณ วันเกิด บน,Ngày sinh nhật của bạn là vào,今天是你的生日,今天是你的生日
string-->>was_your_bday_on,It was your birthday on,Ia adalah hari lahir anda,มันเป็นของคุณ วันเกิด บน,Ngày sinh nhật của bạn đã là vào,这是你的生日,这是你的生日
string-->>colleague_anniversary_today,It\'s your colleague\'s %1$sanniversary today.,It \'s rakan sekerja anda \'s %1$s sulang tahun hari ini.,วันนี้เป็นวันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ,Hôm nay là ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn.,今天是您同事的%1$s周年纪念日,今天是您同事的%1$s周年纪念日
string-->>is_colleague_anniversary_on,It\'s your colleague\'s %1$sanniversary on,It \'s rakan sekerja anda \'s %1$s sulang tahun pada,วันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ ณ วันที่,Ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn là vào,这是您的同事%1$s周年纪念日,这是您的同事%1$s周年纪念日
string-->>was_colleague_anniversary_on,It was your colleague\'s %1$sanniversary on,Ia adalah rakan sekerja anda \'s %1$s sulang tahun pada,วันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ ณ วันที่,Ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn đã là vào,这是您同事的%1$s周年纪念日,这是您同事的%1$s周年纪念日
string-->>your_anniversary_today,It\'s your %1$sanniversary today.,It \'s %1$s sulang tahun hari ini.,วันนี้เป็นวันครบรอบ %1$sปี,Hôm nay là ngày kỷ niệm %1$sanniversary của bạn.,今天是您的%1$s周年纪念日。,今天是您的%1$s周年纪念日。
string-->>is_your_anniversary_on,It\'s your %1$sanniversary on,It \'s anda %1$s sulang tahun pada,วันครบรอบ %1$sปี ณ,Ngày kỷ niệm%1$ của bạn là vào,这是您的%1$s周年纪念日,这是您的%1$s周年纪念日
string-->>was_your_anniversary_on,It was your %1$sanniversary on,Ia adalah %1$s sulang tahun pada,วันครบรอบ %1$sปี ณ วันที่,Ngày kỷ niệm%1$ của bạn đã là vào,这是您的%1$s周年纪念日,这是您的%1$s周年纪念日
string-->>wish_you_a_wonderful_birthday,Wish you a wonderful birthday.,Selamat Hari Jadi kepada anda!,ขอให้คุณวิเศษ วันเกิด.,Chúc bạn đón một sinh nhật tuyệt vời.,祝你生日快乐！,祝你生日快乐！
string-->>no_email_client_installed,There are no email clients installed.,Tiada pelanggan e-mel yang dipasang.,ไม่มีการติดตั้งอีเมล์ลูกค้า,Không có trình duyệt email nào được cài đặt.,未安装电子邮件客户端。,未安装电子邮件客户端。
string-->>wish_you_a_wonderful_anniversary,Wish you a wonderful Anniversary!,Selamat Ulang Tahun kepada anda!,ขอให้คุณวิเศษ วันครบรอบ,Chúc bạn đón một Ngày kỷ niệm tuyệt vời!,祝你周年快乐！,祝你周年快乐！
string-->>send_mail,Send mail....,Hantar surat....,ส่งเมล์...,Gửi email....,发送邮件...,发送邮件...
string-->>you_have_earned,You have earned,Anda telah memperoleh,คุณได้รับ,Bạn đã giành được,您已赚取,您已赚取
string-->>points_to_redeem,points to redeem,mata untuk menebus,คะแนนเพื่อแลก,điểm để đổi,积分兑换,积分兑换
string-->>rewards_to_redeem,rewards to redeem,ganjaran untuk ditebus,รางวัลเพื่อแลกรับ,phần thưởng để đổi,兑换奖励,兑换奖励
string-->>you_have,You have,Kamu ada,คุณมี,Bạn có,你有,你有
string-->>nearby_rewards,Nearby Rewards,Ganjaran Berdekatan,รางวัลใกล้เคียง,Phần thưởng gần đây,附近奖励,附近奖励
string-->>code,CODE,KOD,รหัส,MÃ,代码,代码
string-->>redeemed_on_the,Redeemed on the,Penebusan pada,แลกของรางวัลเมื่อ,Đã đổi thưởng trên,兑换在,兑换在
string-->>your_promo_code,Your Promo code,Promo kod and a,รหัสโปรโมชั่นของคุณ,Mã khuyến mãi của bạn,您的代码,您的代码
string-->>code_copied_to_clipboard,Code copied to clipboard,Kod disalin ke papan keratan,คัดลอกรหัสไปยังคลิปบอร์ด,Đã sao chép mã vào clipboard,复制到剪贴板的代码,复制到剪贴板的代码
string-->>not_available,N/A,N/A,N/A,Không rõ,不适用,不适用
string-->>press_link_for_more_detail,Press Link for more detail,Tekan Link untuk maklumat lanjut,กดลิงค์เพื่อดูรายละเอียดเพิ่มเติม,Nhấn vào Liên kết để biết thêm chi tiết,按链接了解更多详情,按链接了解更多详情
string-->>please_select_any_mobile_number_for_call,Please select any mobile number for call,Sila pilih mana-mana nombor mudah alih untuk panggilan,กรุณาเลือกหมายเลขโทรศัพท์สำหรับการติดต่อ,Vui lòng chọn bất kỳ số điện thoại di động nào để gọi,请选择任何手机号码进行呼叫,请选择任何手机号码进行呼叫
string-->>please_enter_vendor_passcode,Please Enter vendor passcode,Sila masukkan kod laluan vendor,กรุณาป้อนรหัสผู้ขาย,Vui lòng Nhập mật mã của nhà cung cấp,请输入商家密码,请输入商家密码
string-->>redeeming_this_reward_will_deduct,Redeeming this reward will deduct,Menebus ganjaran ini akan ditolak,การแลกรางวัลนี้ คะแนนของคุณจะถูกหักออก,Đổi phần thưởng này sẽ trừ đi,兑换此奖励将扣除,兑换此奖励将扣除
string-->>from_your_account,from your account.,dari akaun anda.,จากบัญชีของคุณ,từ tài khoản của bạn.,从您的帐户。,从您的帐户。
string-->>delivery_fee_of,Delivery fee of,Yuran penghantaran,ค่าจัดส่งของ,Phí giao hàng của,运费,运费
string-->>points_will_deducted_no_further,points will be deducted. No further points will be deducted for subsequent redemptions today.,mata akan ditolak. Tiada mata lagi akan ditolak untuk penebusan seterusnya hari ini.,,điểm sẽ bị trừ. Các lần đổi điểm tiếp theo trong ngày hôm nay sẽ không bị trừ điểm nữa.,积分将被扣除。今天的兑换将不再扣除积分。,积分将被扣除。今天的兑换将不再扣除积分。
string-->>collect_from_your_office,Collect from your office person-in-charge at the scheduled date each month.,Kumpulkan dari orang yang bertugas di pejabat anda pada tarikh yang dijadualkan setiap bulan.,,Thu thập từ người phụ trách văn phòng của bạn vào ngày đã lên lịch mỗi tháng.,每月在预定日期向办公室负责人收取。,每月在预定日期向办公室负责人收取。
string-->>error_caps,ERROR!,KESILAPAN!,ผิดพลาด!,LỖI!,错误！,错误！
string-->>please_enter_your_customer_id_number,Please enter your Customer Id number,Sila masukkan nombor Id Pelanggan anda,กรุณาป้อนหมายเลขรหัสลูกค้าของคุณ,Vui lòng nhập số Id Khách hàng của bạn,请输入您的客户 ID,请输入您的客户 ID
