keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>privacy_policy,\u0020 I accept the,\ u0020 أنا أقبل,\u0020 Saya terima,\u0020 Я принимаю,ฉันยอมรับ,\u0020 Tôi đồng ý,\u0020 我接受,\u0020 我接受
string-->>policy_link,Terms of service & Privacy Policy,بنود سياسة الخصوصية,Syarat perkhidmatan dan Dasar Privasi,Условия использования и Политику конфиденциальности,เงื่อนไขการให้บริการ และนโยบายความเป็นส่วนตัว,Điều khoản dịch vụ và Chính sách Bảo mật,服务条款和隐私政策,服务条款和隐私政策
string-->>accept_privacy_policy,Please accept our terms of Service and Privacy Policy to proceed,يرجى قبول شروط الخدمة وسياسة الخصوصية للمضي قدما,Sila terima syarat Perkhidmatan dan Dasar Privasi kami untuk meneruskan,"""Чтобы продолжить, необходимо подтвердить согласие с нашими условиями обслуживания и Политикой конфиденциальности",กรุณายอมรับข้อกำหนดของการให้บริการ และนโยบายความเป็นส่วนตัวของเราเพื่อดำเนินการต่อ,Vui lòng đồng ý các điều khoản Dịch vụ và Chính sách Bảo mật của chúng tôi để tiếp tục,请接受我们的服务条款和隐私政策继续,请接受我们的服务条款和隐私政策继续
string-->>award_points,Award Points,نقاط جائزة,Mata Anugerah,Поощрительные баллы,รางวัลคะแนน,Điểm thưởng,奖励积分,奖励积分
string-->>you_are_not_authenticated,You\'re not authenticated to start conversation. Please logout and login.,أنت غير مصادقة لبدء المحادثة. يرجى تسجيل الخروج وتسجيل الدخول.,Anda tidak disahkan untuk memulakan perbualan. Sila log keluar dan log masuk.,"Чтобы начать диалог, необходимо авторизоваться. Необходимо выйти и войти заново.",,Bạn không được xác thực để bắt đầu cuộc trò chuyện. Vui lòng đăng xuất và đăng nhập.,您未经过验证才能开始对话。请登出并登录。,您未经过验证才能开始对话。请登出并登录。
string-->>please_start_sending_msg,Please start sending messages to see the conversation details.,يرجى البدء في إرسال الرسائل لرؤية تفاصيل المحادثة.,Sila mulakan menghantar mesej untuk melihat butiran perbualan.,"Чтобы увидеть подробности диалога, начните отправлять сообщения.",,Vui lòng bắt đầu gửi tin nhắn để xem chi tiết cuộc trò chuyện.,请开始发送消息以查看对话详细信息。,请开始发送消息以查看对话详细信息。
string-->>out_of_30,out of 30,من 30.,daripada 30,из 30,,/30,30之内,30之内
string-->>add_members,Add Members,إضافة أعضاء,Tambah Ahli,Добавить участников,,Thêm Thành viên,添加成员,添加成员
string-->>start_conversation,Start Conversation,بدء المحادثة,Mula Perbualan,Начать диалог,,Bắt đầu Cuộc trò chuyện,开始对话,开始对话
string-->>no_internet_connection,No Internet Connection,لا اتصال بالإنترنت,Tiada sambungan internet,Нет интернет-подключения,ไม่มีการเชื่อมต่ออินเตอร์เน็ต,Không có Kết nối Internet,无互联网连接,无互联网连接
string-->>something_went_wrong,Something went wrong.,هناك خطأ ما.,Menghadapi isu buat semasa.,Что-то пошло не так.,มีบางอย่างผิดปกติ,Sự cố nào đó đã phát sinh.,出事了,出事了
string-->>sorry_no_user_authenticated,"Sorry, no users are authenticated to chat at the moment.",عذرا، لا يتم مصادقة أي مستخدمين للدردشة في الوقت الحالي.,"Maaf, tiada pengguna disahkan untuk bersembang pada masa ini.","К сожалению, нет ни одного аутентифицированного пользователя, с кем можно начать диалог.",,"Xin lỗi, không có người dùng nào được xác thực để trò chuyện vào lúc này.",抱歉，目前没有用户通过验证进行聊天。,抱歉，目前没有用户通过验证进行聊天。
string-->>error,Error,خطأ,Kesilapan,Ошибка,ผิดพลาด,Lỗi,错误,错误
string-->>only_25_member_restriction,"Sorry, right now you can create the group with only 25 members",آسف، الآن يمكنك إنشاء المجموعة مع 25 عضوا فقط,"Maaf, sekarang anda boleh membuat kumpulan dengan hanya 25 ahli","Извините, прямо сейчас вы можете создать группу только из 25 участников.",,"Xin lỗi, bạn có thể tạo nhóm chỉ với 25 thành viên ngay bây giờ",组团有限制25 个成员,组团有限制25 个成员
string-->>group_name,Group Name,أسم المجموعة,Nama kumpulan,Название группы,,Tên nhóm,组名称,组名称
string-->>please_enter_the_name,Please enter the name,الرجاء إدخال الاسم,Sila masukkan nama,"Пожалуйста, введите название",,Vui lòng nhập tên,请输入名称,请输入名称
string-->>cancel,Cancel,يلغي,Batalkan,Отмена,ยกเลิก,Hủy,取消,取消
string-->>okay,OK,نعم,Okey,OK,ตกลง,OK,好,好
string-->>enter_group_name,Enter group name,أدخل اسم المجموعة,Masukkan nama kumpulan,Введите название группы,,Nhập tên nhóm,输入组名称,输入组名称
string-->>failed_to_authenticate_layer,Failed to authenticate with Layer:,فشل في المصادقة مع الطبقة:,Gagal mengesahkan dengan Layer:,Failed to authenticate with Layer:,,Không thể xác thực với Layer:,无法使用层进行验证：,无法使用层进行验证：
string-->>welcome_to_the,Welcome to the,أهلا بك في,Selamat datang ke,Добро пожаловать в,,Chào mừng đến với,欢迎来到,欢迎来到
string-->>group,group.,مجموعة.,kumpulan.,группу.,,nhóm.,组。,组。
string-->>unknown_participant,Unknown Participant,مشارك غير معروف,Peserta tidak diketahui,Неизвестный участник,,Người tham gia vô danh,未知参与者,未知参与者
string-->>is_typing,is typing,يكتب,sedang menaip,печатает...,,đang đánh máy,正在键入,正在键入
string-->>please_grant_location_permission,Please grant location permission to continue using the app,يرجى منح إذن الموقع للمتابعة باستخدام التطبيق,Sila berikan kebenaran lokasi untuk terus menggunakan aplikasinya,"Пожалуйста, предоставьте доступ к местоположению для использования этого приложения",โปรดยินยอมให้ใช้ตำแหน่งที่ตั้งเพื่อใช้งานแอพต่อไป,Vui lòng cho phép định vị để tiếp tục sử dụng ứng dụng,请授予位置权限以继续使用应用,请授予位置权限以继续使用应用
string-->>not_attending,not_attending,عدم حضوره,tidak hadir,посещение_не_планируется,,not_attending,不能参加,不能参加
string-->>attending,attending,حضور,hadir,планируется посещение,การเข้าร่วม,đang tham dự,参加,参加
string-->>attended,attended,حضرها,telah menghadiri,посещенное(-ые),ได้เข้าร่วม,đã tham dự,参加,参加
string-->>there_are_no_email_client_installed,There are no email clients installed.,لا توجد عملاء البريد الإلكتروني مثبتة.,Tiada pelanggan e-mel yang dipasang.,Почтовые клиенты не установлены.,ไม่มีการติดตั้งอีเมล์ลูกค้า,Không có trình duyệt email nào được cài đặt.,未安装电子邮件客户端。,未安装电子邮件客户端。
string-->>please_install_google_map_application,Please install Google Map application from Play Store.,يرجى تثبيت تطبيق خريطة Google من Play Store.,Sila pasang aplikasi Google Map dari Play Store.,Установите приложение Google Map из магазина Play Store.,โปรดติดตั้งแอพพลิเคชั่น Google Map จาก Play Store,Vui lòng cài đặt ứng dụng Google Map từ Cửa hàng Play.,请安装谷歌地图应用程序从Play商店。,请安装谷歌地图应用程序从Play商店。
string-->>no_user_joined_this_group,Currently there are no users joined this group.,حاليا لا يوجد أي مستخدمين انضموا إلى هذه المجموعة.,Pada masa ini tiada pengguna menyertai kumpulan ini.,На данный момент ни один пользователь не присоединился к группе.,,Hiện tại không có người dùng nào tham gia nhóm này.,目前没有用户加入此组。,目前没有用户加入此组。
string-->>message,Message,رسالة,Mesej,Сообщение,ข้อความ,Tin nhắn,信息,信息
string-->>select_source,Select source,اختر مصدر,Pilih sumber,Выберите источник,เลือกแหล่งที่มา,Chọn nguồn,选择源,选择源
string-->>sure_dont_want_title,Are you sure you dont want to add title?,هل أنت متأكد أنك لا ترغب في إضافة العنوان؟,Adakah anda pasti anda tidak mahu menambah tajuk?,"Вы уверены, что не будете добавлять должность?",คุณแน่ใจหรือไม่ว่าไม่ต้องการเพิ่มคำนำหน้าชื่อ?,Bạn có chắc là mình không muốn thêm chức vụ?,是否确实不想添加称号？,是否确实不想添加称号？
string-->>image_size_less_than_6mb,Image Size Should be less than 6 MB,يجب أن يكون حجم الصورة أقل من 6 ميغابايت,Saiz Imej Harus kurang dari 6 MB,Размер изображения должен быть меньше 6 Мб,ขนาดภาพควรน้อยกว่า 6 MB,Kích thước hình ảnh Nên nhỏ hơn 6 MB,图像应该小于 6 MB,图像应该小于 6 MB
string-->>updated_successfully,Updated Successfully,تم التحديث بنجاح,Dikemaskini Berjaya,Успешно обновлено,อัพเดทสำเร็จแล้ว,Cập nhật Thành công,成功更新,成功更新
string-->>server_technical_error,We\'ve encountered a technical error.our team is working on it. please try again later,لقد صادفنا خطأ فني. فريقك يعمل على ذلك. الرجاء معاودة المحاولة في وقت لاحق,Kami telah mengalami kesilapan teknikal. Pasukan kami sedang mengusahakannya. sila cuba sebentar lagi,Техническая ошибка. Наша команда уже работает над проблемой. Повторите попытку позже.,เราพบข้อผิดพลาดทางเทคนิค ทีมงานของเรากำลังดำเนินการอยู่ กรุณาลองใหม่อีกครั้งในภายหลัง,Chúng tôi đã đang gặp phải lỗi kỹ thuật. nhóm chúng tôi đang khắc phục lỗi đó. vui lòng thử lại sau,技术故障，请稍后再试,技术故障，请稍后再试
string-->>attend,RSVP,من فضلك، أرسل رد,RSVP,Приглашение,โปรดตอบกลับ,Vui lòng phúc đáp,RSVP,RSVP
string-->>successfully_attending_event,You are successfully attending Event,أنت تحضر بنجاح الحدث,Anda berjaya menghadiri Acara,Вы успешно зарегистрированы на событие,คุณเข้าร่วมกิจกรรมสำเร็จแล้ว,Bạn đang tham dự Sự kiện thành công,您已成功参加活动,您已成功参加活动
string-->>successfully_skip_event,You have successfully Skip Event,لديك تخطي الحدث بنجاح,Anda berjaya melangkau Event,Вы успешно зарегистрированы как пропускающий событие,คุณไม่เข้าร่วมกิจกรรมสำเร็จแล้ว,Bạn đã Bỏ qua Sự kiện thành công,您已成功取消参与活动,您已成功取消参与活动
string-->>skip_event,Skip Event,تخطي الحدث,Melangkau Event,Пропустить событие,ข้ามอีเว้นท์,Bỏ qua Sự kiện,取消参与活动,取消参与活动
string-->>check_in,Check In,تحقق في,Daftar masuk,Регистрация,ลงทะเบียน,Đăng ký,签入,签入
string-->>checked_in,Checked In,فحص في,Mengambil bahagian,Регистрация успешна,ละทะเบียนแล้ว,Đã đăng ký,已签入,已签入
string-->>successfully_checked_in_event,You have successfully Checked In Event,لقد تم التحقق بنجاح في الحدث,Anda telah berjaya mangambil bahagian dalam Acara,Вы успешно зарегистрировали событие,คุณลงทะเบียนอีเวนท์สำเร็จแล้ว,Bạn đã Đăng ký Sự kiện thành công,您已成功签入活动,您已成功签入活动
string-->>start,START:,بداية:,MULA:,НАЧАЛО:,เริ่ม:,BẮT ĐẦU:,开始：,开始：
string-->>at,at,في,di,в,ที่,tại,在,在
string-->>end,END:,نهاية:,TAMAT:,ОКОНЧАНИЕ:,สิ่นสุด:,KẾT THÚC:,结束：,结束：
string-->>failed_sync_conversation,Failed to sync conversation. Please click on chat icon to start conversation,فشل في مزامنة المحادثة. يرجى النقر على أيقونة الدردشة لبدء المحادثة,Gagal menyegerakkan perbualan. Sila klik pada ikon sembang untuk memulakan perbualan,"Не удалось синхронизировать диалог. Щелкните иконку чата, чтобы начать диалог",,Không thể đồng bộ hóa cuộc trò chuyện. Vui lòng nhấp vào biểu tượng trò chuyện để bắt đầu hội thoại,无法同步对话。请点击聊天图标开始对话,无法同步对话。请点击聊天图标开始对话
string-->>oops,Oops,وجه الفتاة,Alamak,Ой.,อุ๊บส์,Rất tiếc,哎呀,哎呀
string-->>storage_permisison_manually,"Unable to open the Gallery. Please tap Settings, go to Application info > Permissions, then allow Storage Permission and try again.",غير قادر على فتح المعرض. يرجى الضغط على الإعدادات، انتقل إلى معلومات التطبيق> أذونات، ثم السماح بإذن التخزين وحاول مرة أخرى.,"Tidak dapat membuka Galeri. Sila ketik Tetapan, pergi ke Info aplikasi> Kebenaran, kemudian izinkan Kebenaran Penyimpanan dan cuba lagi.","Не удалось открыть галерею. Нажмите «Настройки», откройте О приложении > Разрешения, включите разрешение для Хранилища и повторите попытку.",ไม่สามารถเปิดคลังภาพได้ กรุณาแตะที่ตั้งค่า ไปที่อนุญาตให้ใช้ข้อมูลแอพพลิเคชั่น จากนั้นอนุญาตให้จัดเก็บข้อมูล แล้วลองอีกครั้ง,"Unable to open the Gallery. Please tap Settings, go to Application info > Permissions, then allow Storage Permission and try again.",允许储存,允许储存
string-->>grant_calendar_permission_rsvp_event,Please grant calendar permission to add RSVPed event to Calendar app,يرجى منح إذن التقويم لإضافة حدث RSVPED إلى التطبيق التقويم,Sila berikan kebenaran kalendar untuk menambah acara yang telah RSVP ke aplikasi Kalendar,"Чтобы добавить приглашение на событие в приложение Календарь, включите разрешение для календаря",โปรดยินยอมให้ใช้ปฏิทินเพื่อเพิ่มการตอบกลับร่วมงานอีเวนท์ที่ปฏิทินในแอพ,Vui lòng cấp quyền cho lịch biểu để thêm sự kiện đã yêu cầu phúc đáp vào ứng dụng Calendar,请授予日历权限，将 RSVP活动添加到日历应用,请授予日历权限，将 RSVP活动添加到日历应用
string-->>please_enter_the_password,Please enter the password,الرجاء إدخال كلمة المرور,Sila masukkan kata laluan,Введите пароль,กรุณาป้อนรหัสผ่าน,Xin vui lòng nhập mật khẩu,请输入密码,请输入密码
string-->>see_all_photo,See All Photos,رؤية جميع الصور,Lihat Semua Foto,Посмотреть все фотографии,ดูรูปภาพทั้งหมด,Xem Tất cả Ảnh,查看所有照片,查看所有照片
string-->>attendance_confirmed,Thank you. Your attendance has been confirmed. See you at the event!,شكرا لك. تم تأكيد حضورك. نراكم في الحدث!,Terima kasih. Kehadiran anda telah disahkan. Lihat awak pada acara itu!,Благодарим Вас. Ваше участие подтверждено. До встречи на мероприятии.,ยืนยันเข้าร่วม,Cảm ơn bạn. Bạn đã được xác nhận tham dự. Hẹn gặp bạn tại sự kiện!,谢谢。您的出席已确认。活动上见！,谢谢。您的出席已确认。活动上见！
string-->>checkin_confirmed,Check-In Confirmed,تأكيد تسجيل الوصول,Daftar Masuk Dikonfirmasi,Регистрация подтверждена,ยืนยันการลงทะเบียน,Đã xác nhận Đăng ký,签入确认,签入确认
string-->>rsvp_withdrawn,RSVP Withdrawn,انسحبت RSVP,RSVP ditarik balik,Приглашение отозвано,ถอนการตอบกลับ,Rút lại yêu cầu phúc đáp,RSVP 撤回,RSVP 撤回
string-->>join_chat_room,Join Chat Room,انضم إلى غرفة الدردشة,Sertai Bilik Sembang,Войти в переговорную комнату,,Tham gia Phòng Trò chuyện,加入聊天室,加入聊天室
string-->>would_you_like_to_join_chat_room,Would you like to join this event chat room?,هل ترغب في الانضمام إلى غرفة دردشة الحدث هذه؟,Adakah anda ingin menyertai bilik sembang acara ini?,"""Присоединиться к чату события?",,Bạn có muốn tham gia phòng trò chuyện của sự kiện này không?,您想加入此活动聊天室吗？,您想加入此活动聊天室吗？
string-->>join,Join,انضم,Sertai,Присоединиться,,Tham gia,加入,加入
string-->>no,No,لا,Tidak,Нет,ไม่ใช่,Không,否,否
string-->>successfully_joined_chat_group,You\'ve successfully joined the chat group,لقد انضممت بنجاح إلى مجموعة الدردشة,Anda telah berjaya menyertai kumpulan sembang,Вы успешно присоединились к чату,,Bạn đã tham gia nhóm trò chuyện thành công,您已成功加入聊天组,您已成功加入聊天组
string-->>subscribed,subscribed,مشترك,Telah melanggan,подписка оформлена,,đã đăng ký,订阅,订阅
string-->>waiting_for_network,Waiting for network!,في انتظار الشبكة!,Menunggu rangkaian!,Ожидание сети!,รอการเชื่อมโยงเครือข่าย!,Đang chờ mạng!,等待网络！,等待网络！
string-->>image_size_less_than_20mb,Image Size Should be less than 20 MB,يجب أن يكون حجم الصورة أقل من 20 ميغابايت,Saiz Imej Harus kurang daripada 20 MB,Размер изображения должен быть меньше 20 Мб,ขนาดรูปภาพควรน้อยกว่า 20 MB,Kích thước Hình ảnh Nên nhỏ hơn 20 MB,图像应该少于20 MB,图像应该少于20 MB
string-->>delete,DELETE,حذف,PADAM,УДАЛИТЬ,ลบ,XÓA,删除,删除
string-->>sure_delete_photo,Are you sure you want to delete this photo?,هل أنت متأكد من مسح الصورة؟,Adakah anda pasti mahu memadamkan foto ini?,Вы точно хотите удалить это фото?,คุณแน่ใจหรือไม่ว่าต้องการลบรูปภาพนี้?,Bạn có chắc là mình muốn xóa ảnh này không?,是否确实要删除此照片？,是否确实要删除此照片？
string-->>yes,YES,نعم,YA,ДА,ใช่,CÓ,是,是
string-->>by,by,بواسطة,oleh,от,โดย,bằng,由,由
string-->>social_apps_not_installed,"Whatsapp,Instagram,Twitter,Facebook have not been installed.",WhatsApp، Instagram، Twitter، لم يتم تثبيت Facebook.,"Whatsapp, Instagram, Twitter, Facebook belum dipasang.","Whatsapp, Instagram, Twitter, Facebook не установлены.","ยังไม่ได้ติดตั้ง Whatsapp,Instagram,Twitter และ Facebook","Whatsapp, Instagram, Twitter, Facebook chưa được cài đặt.",Whatsapp，Instagram，推特，脸谱尚未安装。,Whatsapp，Instagram，推特，脸谱尚未安装。
string-->>edit_caption,EDIT CAPTION,تحرير التسمية التوضيحية,Sunting kapsyen,РЕДАКТИРОВАТЬ ОПИСАНИЕ,แก้ไขคำบรรยายภาพ,SỬA LẠI CHÚ THÍCH,编辑称号,编辑称号
string-->>enter_caption,Enter caption,أدخل التعليق,Masukkan kapsyen,Введите текст описания,ป้อนคำบรรยายภาพ,Nhập chú thích,输入称号,输入称号
string-->>search,Search,بحث,Cari,Поиск,ค้นหา,Tìm kiếm,探索,探索
string-->>nearby,Nearby,مجاور,Berdekatan,Рядом,ใกล้เคียง,Lân cận,附近,附近
string-->>location_not_found,Location not found,الموقع غير موجود,Lokasi tidak dijumpai,Местоположение не найдено,ไม่พบตำแหน่งที่ตั้ง,Không tìm thấy vị trí,未找到位置,未找到位置
string-->>unable_to_get_your_location,Unable to get your location,غير قادر على الحصول على موقعك,Tidak dapat mendapatkan lokasi anda,Невозможно получить местоположение,ไม่สามารถรับตำแหน่งที่ตั้งของคุณ,Không thể nhận được vị trí của bạn,无法获取您的位置,无法获取您的位置
string-->>grant_location_permission,Please grant location permission to continue using this functionality,يرجى منح إذن الموقع للمتابعة باستخدام هذه الوظيفة,Sila berikan kebenaran lokasi untuk terus menggunakan fungsi ini,"Пожалуйста, предоставьте разрешение на доступ к местоположению для использования этого функционала",โปรดยินยอมให้ใช้ตำแหน่งที่ตั้งเพื่อการใช้งานฟังก์ชั่นต่อไป,Vui lòng cho phép định vị để tiếp tục sử dụng chức năng này,请授予位置权限以继续使用此功能,请授予位置权限以继续使用此功能
string-->>settings,SETTINGS,الإعدادات,Tetapan,НАСТРОЙКИ,การตั้งค่า,CÀI ĐẶT,设置,设置
string-->>pts,pts,pts,mata,баллы,คะแนน,pts,分,分
string-->>total_points_as_of,Total Points as of,مجموع نقاط اعتبارا من,Jumlah Mata pada,Общее количество баллов на,คะแนนรวม ณ วันที่,Tổng số Điểm kể từ,截至,截至
string-->>no_data_in_health_activity,No Data in Healthy Activity.,لا توجد بيانات في نشاط صحي.,Tiada Data dalam Aktiviti Sihat.,Нет данных по занятиям для здоровья.,,Không có Dữ liệu trong Hoạt động Lành mạnh.,"""健康活动""中没有数据。","""健康活动""中没有数据。"
string-->>not_connected_to_any_apps,You are not connected to any apps,أنت غير متصل بأي تطبيقات,Anda tidak bersambung dengan mana-mana aplikasi,Вы не подключены ни к каким приложениям,,Bạn chưa kết nối với bất kỳ ứng dụng nào,您未连接到任何应用,您未连接到任何应用
string-->>no_data_in_program,No Data in Programs/Activities.,لا توجد بيانات في البرامج / الأنشطة.,Tiada Data dalam Program / Aktiviti.,Нет данных в Программах/Мероприятиях.,,Không có Dữ liệu trong Chương trình / Hoạt động.,计划/活动中没有数据。,计划/活动中没有数据。
string-->>dont_have_referal_now,You dont have any referral as of now,ليس لديك أي إحالة اعتبارا من الآن,Anda tidak mempunyai sebarang rujukan sekarang,На данный момент у вас нет рефералов,,Bạn không có bất kỳ việc giới thiệu nào kể từ bây giờ,到目前为止，您没有任何推荐,到目前为止，您没有任何推荐
string-->>add_referral,Add Referral,إضافة الإحالة,Tambah Rujukan,Добавить реферала,,Thêm Giới thiệu,添加推荐,添加推荐
string-->>havent_checked_any_facility_event,You have not checked in any facility and events yet.,أنت لم تحقق في أي منشأة وأحداث حتى الآن.,Anda belum mendaftar masuk sebarang kemudahan dan acara.,Вы еще не зарегистрировались на площадку или событие.,,Bạn chưa đăng ký bất kỳ cơ sở và sự kiện nào.,您尚未签入任何设施和活动。,您尚未签入任何设施和活动。
string-->>event_check_in,Event Check In,تحقق حدث في,Acara untuk cek in,Регистрация на событие,ลงทะเบียนอีเวนท์,Đăng ký sự kiện,活动签入,活动签入
string-->>facility_check_in,FACILITY CHECK-IN,مرفق تسجيل الوصول,cek in kemudahan,РЕГИСТРАЦИЯ НА ПЛОЩАДКУ,,ĐĂNG KÝ CƠ SỞ,设施值机入住,设施值机入住
string-->>havent_checked_any_event,You have not checked in any events yet.,أنت لم تحقق في أي أحداث حتى الآن.,Anda belum mendaftar masuk dalam sebarang acara.,Вы еще не зарегистрированы ни в одном событии.,คุณไม่ได้ลงทะเบียนในอีเวนท์ใดๆ,Bạn chưa đăng ký bất kỳ sự kiện nào.,您尚未签入任何活动。,您尚未签入任何活动。
string-->>no_data_to_display,Oops! No data to display,وجه الفتاة! لا توجد بيانات لعرض,Alamak! Tiada data untuk dipaparkan,Упс! Нет данных для отображения,ไม่มีข้อมูลแสดง,Rất tiếc! Không có dữ liệu nào để hiển thị,哎呀！没有要显示的数据,哎呀！没有要显示的数据
